ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
ID_electricity_bus_shortage,source,0,0,12.76,0,0.93,1397.37,0,0,0,2207839.33
ID_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_pv_bus_excess,sink,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_hp_electricity_bus_shortage,source,0,0,42.76,0,2.13,3433.8,0,0,0,7398281.78
district_chp_electricity_bus_excess,sink,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0
district_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_pv_to_ID_electricity_link,link,0.0,0,0.0,0,0.0,0.0,0.0,7.0,7,0.0
ID_electricity_to_ID_hp_electricity_bus,link,0.0,0,0.0,0,0.0,0.0,0.0,14.0,14,0.0
ID_battery_storage,storage,0.0,0,0.0,0,5.4,0.0,3780.0,54.0,54,21600.0
ID_thermal_storage,storage,0.0,0,0.0,0,9.2,0.0,92.0,92.0,92,9200.0
ID_electricity_sink,sink,12.77,0,0.0,0,0.93,0.0,0,0,0,0.0
ID_heat_sink,sink,79.67,0,0.0,0,4.94,0.0,0,0,0,0.0
ID_heat_sink_window-insulation,insulation,0,0,0.0,0,0.0,0.0,0.0,0.0,2.36,0.0
ID_cooling_sink,sink,120.0,0,0.0,0,5.0,0.0,0,0,0,0.0
ID_photovoltaic_electricity_source,source,0,0,0.0,0,0.0,0.0,900.0,10.0,10,93.58
ID_solar_thermal_source,source,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
ID_gasheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
ID_GCHP_transformer,transformer,61.22,18.45,79.67,0,4.94,0.0,2311.4,20.0,20,0.0
ID_ASCH_transformer,transformer,95.69,24.31,120.0,0,5.0,0.0,1700.0,17.0,17,0.0
ID_AbsCH_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
ID_ASHP_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,1353.36,12.0,12,0.0
ID_chp_transformer,transformer,0.0,0,0.0,0.0,0.0,0.0,177400.0,3548.0,3548,0.0
