ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
ID_electricity_bus_shortage,source,0,0,12.77,0,0.93,1397.87,0,0,0,2208631.41
ID_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_pv_bus_excess,sink,0.01,0,0.0,0,0.01,-0.14,0,0,0,-112.3
ID_hp_electricity_bus_shortage,source,0,0,19.11,0,1.04,1534.63,0,0,0,3306427.37
district_chp_electricity_bus_excess,sink,7870.76,0,0.0,0,327.95,-195926.92,0,0,0,-1077310801.22
district_gas_bus_shortage,source,0,0,22487.9,0,937.0,574565.76,0,0,0,0.0
ID_pv_to_ID_electricity_link,link,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
ID_electricity_sink,sink,12.77,0,0.0,0,0.93,0.0,0,0,0,0.0
ID_heat_sink,sink,79.67,0,0.0,0,4.94,0.0,0,0,0,0.0
ID_heat_sink_window-insulation,insulation,0,0,27.22,0,1.69,0.0,205700.76,1.69,1.69,1877.02
ID_cooling_sink,sink,120.0,0,0.0,0,5.0,0.0,0,0,0,0.0
ID_electricity_to_ID_hp_electricity_bus,link,0.0,0,0.0,0,0.0,0.0,0.0,12.0,12,0.0
ID_battery_storage,storage,0.0,0,0.0,0,7.7,0.0,5390.0,77.0,77,30800.0
ID_thermal_storage,storage,0.0,0,0.0,0,5.5,0.0,55.0,55.0,55,5500.0
ID_photovoltaic_electricity_source,source,0,0,0.01,0,0.01,0.0,1080.0,12.0,12,112.3
ID_solar_thermal_source,source,0.0,0.0,0.0,0,0.0,0.0,400.0,10.0,10,0.0
ID_gasheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,420.0,6.0,6,0.0
ID_GCHP_transformer,transformer,40.3,12.15,52.45,0,3.25,0.0,924.56,8.0,8,0.0
ID_ASCH_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,300.0,3.0,3,0.0
ID_AbsCH_transformer,transformer,139.23,6.96,120.0,0,5.0,0.0,800.0,8.0,8,0.0
ID_ASHP_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,1804.48,16.0,16,0.0
ID_chp_transformer,transformer,22487.9,0,7870.76,12368.34,327.95,0.0,171250.0,3425.0,3425,2144361499.58
ID_Diameter65L_f0-c0_exergy,dh,13.97,0,0.0,0,0.58,0.0,2321.45,9999.0,9999.0,16593.0
district_heat_bus_Diameter65L_p0-f4_exergy,dh,12368.34,0,12357.16,0,514.88,0.0,1857.45,9999.0,9999.0,13276.52
ID_street1_Diameter65L_f1-f0_exergy,dh,0.0,0,-6216.39,0,-259.02,0.0,1032816.01,9999.0,9999.0,7382260.92
ID_street1_Diameter65L_f0-f4_exergy,dh,-6230.37,0,-6250.83,0,-260.45,0.0,3399.47,9999.0,9999.0,24298.41
ID_street1_Diameter65L_f4-f2_exergy,dh,6106.34,0,0.0,0,254.43,0.0,1014530.88,9999.0,9999.0,7251564.32
dh_heat_house_station_ID,transformer,0.0,0,0.0,0,0.0,0.0,0.0,0.0,10989,0.0
district_heat_bus_dh_source_link_exergy,transformer,12368.34,0,12368.34,0,515.35,0.0,0,0,,0.0
