date,ID_electricity_bus_shortage_output1,ID_pv_bus_excess_input1,ID_hp_electricity_bus_shortage_output1,district_chp_electricity_bus_excess_input1,district_gas_bus_shortage_output1,ID_electricity_sink_input1,ID_heat_sink_input1,ID_heat_sink_window-insulation_output1,ID_cooling_sink_input1,ID_battery_storage_capacity,ID_thermal_storage_capacity,ID_photovoltaic_electricity_source_output1,ID_GCHP_transformer_input1,ID_GCHP_transformer_input2,ID_GCHP_transformer_output1,ID_AbsCH_transformer_input1,ID_AbsCH_transformer_input2,ID_AbsCH_transformer_output1,ID_chp_transformer_input1,ID_chp_transformer_output1,ID_chp_transformer_output2,ID_Diameter65L_f0-c0_exergy_input1,district_heat_bus_Diameter65L_p0-f4_exergy_input1,district_heat_bus_Diameter65L_p0-f4_exergy_output1,ID_street1_Diameter65L_f1-f0_exergy_output1,ID_street1_Diameter65L_f0-f4_exergy_input1,ID_street1_Diameter65L_f0-f4_exergy_output1,ID_street1_Diameter65L_f4-f2_exergy_input1,district_heat_bus_dh_source_link_exergy_input1,district_heat_bus_dh_source_link_exergy_output1
2012-01-01 00:00:00,0.2912219035789898,0.0,0.5262027301531804,327.9484935232912,936.9956957808321,0.2912219035789898,1.5534785740157577,0.5307387811525931,5.0,7.7,5.5,0.0,0.785845238810613,0.23689455405255153,1.0227397928631645,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 01:00:00,0.215507205272396,0.0,0.5407808565564145,327.9484935232912,936.9956957808321,0.215507205272396,1.6490772554936506,0.5633996292235218,5.0,7.7,5.5,0.0,0.8342049458143431,0.2514726804557855,1.0856776262701286,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 02:00:00,0.19752746161119958,0.0,0.5517144513588399,327.9484935232912,936.9956957808321,0.19752746161119958,1.72077626660207,0.5878952652767184,5.0,7.7,5.5,0.0,0.8704747260671407,0.262406275258211,1.1328810013253516,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 03:00:00,0.1923333134424095,0.0,0.5905894551007971,327.9484935232912,936.9956957808321,0.1923333134424095,1.9757060838764509,0.6749908601325285,5.0,7.7,5.5,0.0,0.9994339447437542,0.30128127900016816,1.3007152237439223,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 04:00:00,0.19542982485072669,0.0,0.6877769644556899,327.9484935232912,936.9956957808321,0.19542982485072669,2.6130306270624026,0.8927298472720538,5.0,7.7,5.5,0.0,1.3218319914352876,0.39846878835506105,1.7203007797903487,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 05:00:00,0.23393644252512233,0.0,0.8785074515646676,327.9484935232912,936.9956957808321,0.23393644252512233,3.8637800430648337,1.3200426095333726,5.0,7.7,5.5,0.0,1.9545381580674226,0.5891992754640386,2.543737433531461,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 06:00:00,0.4499430851214405,0.0,1.0425113736010494,327.9484935232912,936.9956957808321,0.4499430851214405,4.939265209691127,1.6874771503313215,5.0,7.7,5.5,0.0,2.4985848618593853,0.7532031975004204,3.251788059359806,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 07:00:00,0.6464217283524036,0.0,0.992371495502081,327.9484935232912,936.9956957808321,0.6464217283524036,4.604669824518503,1.5731641820830706,5.0,7.7,5.5,0.0,2.3293258873463305,0.7021797550891017,3.031505642435432,5.803834808259587,0.2901917404129794,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 08:00:00,0.666748827436034,0.0,0.9304144582883367,327.9484935232912,936.9956957808321,0.666748827436034,4.198375428237458,1.4343555777816233,5.0,7.7,5.5,0.0,2.1237971325804774,0.6402227178753573,2.764019850455835,5.803834808259587,0.2901917404129794,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 09:00:00,0.6154066705368397,0.0,0.8806058597439541,327.9484935232912,936.9956957808321,0.6154066705368397,3.8717465998546574,1.3227643468726165,5.0,7.7,5.5,0.0,1.9585681336510665,0.5904141193309747,2.548982252982041,5.803834808259587,0.2901917404129794,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
