date,EFH_electricity_bus_shortage_output1,EFH_pv_bus_excess_input1,EFH_hp_electricity_bus_shortage_output1,EFH_pv_to_EFH_electricity_link_input1,EFH_pv_to_EFH_electricity_link_output1,EFH_electricity_to_EFH_hp_electricity_bus_input1,EFH_electricity_to_EFH_hp_electricity_bus_output1,EFH_electricity_sink_input1,EFH_heat_sink_input1,EFH_battery_storage_input1,EFH_battery_storage_output1,EFH_battery_storage_capacity,EFH_thermal_storage_input1,EFH_thermal_storage_output1,EFH_thermal_storage_capacity,EFH_GCHP_transformer_input1,EFH_GCHP_transformer_input2,EFH_GCHP_transformer_output1,EFH_ASHP_transformer_input1,EFH_ASHP_transformer_input2,EFH_ASHP_transformer_output1,EFH_photovoltaic_electricity_source_output1
2011-12-02 00:00:00,0.37519230085001637,0.0,0.011976395312740846,0.0,0.0,0.0,0.0,0.37519230085001637,0.0517054354009453,0.0,0.0,1.0,0.0,0.0,2.0,0.011976395312740846,0.03972904008820445,0.0517054354009453,0.0,0.0,0.0,0.0
2011-12-02 01:00:00,0.27936925700767,0.0,0.013881730930676892,0.0,0.0,0.0,0.0,0.27936925700767,0.059931300123822966,0.0,0.0,1.0,0.0,0.0,2.0,0.013881730930676892,0.046049569193146074,0.059931300123822966,0.0,0.0,0.0,0.0
2011-12-02 02:00:00,0.25359229784540144,0.0,0.011704204510178555,0.0,0.0,0.0,0.0,0.25359229784540144,0.050530311869105636,0.0,0.0,1.0,0.0,0.0,2.0,0.011704204510178555,0.03882610735892708,0.050530311869105636,0.0,0.0,0.0,0.0
2011-12-02 03:00:00,0.2387170565897049,0.0,0.021775264204983356,0.0,0.0,0.0,0.0,0.2387170565897049,0.09400988254717327,0.0,0.0,1.0,0.0,0.0,2.0,0.021775264204983356,0.07223461834218992,0.09400988254717327,0.0,0.0,0.0,0.0
2011-12-02 04:00:00,0.24849803714139576,0.0,0.051988443289397765,0.0,0.0,0.0,0.0,0.24849803714139576,0.22444859458137617,0.0,0.0,1.0,0.0,0.0,2.0,0.051988443289397765,0.17246015129197842,0.22444859458137617,0.0,0.0,0.0,0.0
2011-12-02 05:00:00,0.301885889319375,0.0,0.16413105394506206,0.0,0.0,0.0,0.0,0.301885889319375,0.7085994896993185,0.0,0.0,1.0,0.0,0.0,2.0,0.16413105394506206,0.5444684357542565,0.7085994896993185,0.0,0.0,0.0,0.0
2011-12-02 06:00:00,0.49872812292215346,0.0,0.2585812624341774,0.0,0.0,0.0,0.0,0.49872812292215346,1.1163673552476827,0.0,0.0,1.0,0.0,0.0,2.0,0.2585812624341774,0.8577860928135054,1.1163673552476827,0.0,0.0,0.0,0.0
2011-12-02 07:00:00,0.6607765559165734,0.0,0.21856921445752045,0.0,0.0,0.0,0.0,0.6607765559165734,0.9436241960672517,0.0,0.0,1.0,0.0,0.0,2.0,0.21856921445752045,0.7250549816097313,0.9436241960672517,0.0,0.0,0.0,0.0
2011-12-02 08:00:00,0.0,0.26150493922644413,0.0,2.588404048086046,2.588404048086046,0.16685296197068497,0.16685296197068497,0.7215510861153607,0.7203507250177151,1.7000000000000002,0.0,2.7,0.0,0.0,2.0,0.16685296197068497,0.5534977630470302,0.7203507250177151,0.0,0.0,0.0,2.84990898731249
2011-12-02 09:00:00,0.0,2.203994019372744,0.0,1.3865861466740206,1.3865861466740206,0.15265600704792615,0.15265600704792615,0.7339301396260944,0.6874472661262045,0.5,0.0,3.2,0.0,0.0,2.0,0.0,0.0,0.0,0.15265600704792615,0.5347912590782784,0.6874472661262045,3.590580166046765
2011-12-02 10:00:00,0.0,0.9060204991530352,0.0,3.028895605319479,3.028895605319479,0.6195707448937317,0.6195707448937317,0.7093248604257472,0.6192901012795039,1.7000000000000002,0.0,4.9,2.3999999999999986,0.0,4.399999999999999,0.0,0.0,0.0,0.6195707448937317,2.399719356385771,3.0192901012795024,3.934916104472514
2011-12-02 11:00:00,0.0,0.9097876843090402,0.0,3.202514990739351,3.202514990739351,0.7793337411987081,0.7793337411987081,0.7231812495406426,0.6404423248526179,1.7000000000000002,0.0,6.6000000000000005,3.4000000000000004,0.0,7.799999999999999,0.0,0.0,0.0,0.7793337411987081,3.26110858365391,4.040442324852618,4.112302675048391
2011-12-02 12:00:00,0.0,0.7964232357019183,0.0,3.239078761332445,3.239078761332445,0.735051594419233,0.735051594419233,0.8040271669132122,0.6145896071521452,1.7000000000000002,0.0,8.3,3.4000000000000004,0.0,11.2,0.0,0.0,0.0,0.735051594419233,3.2795380127329126,4.014589607152145,4.0355019970343635
2011-12-02 13:00:00,0.0,0.5929187223502481,0.0,3.1465717729589695,3.1465717729589695,0.6687291060643461,0.6687291060643461,0.7778426668946231,0.4912016363089802,1.7000000000000002,0.0,10.0,3.4000000000000004,0.0,14.6,0.0,0.0,0.0,0.6687291060643461,3.2224725302446346,3.8912016363089807,3.7394904953092176
2011-12-02 14:00:00,0.0,0.7305798496014642,0.0,1.323437786208036,1.323437786208036,0.652167053241211,0.652167053241211,0.6712707329668249,0.4723996597995456,0.0,0.0,10.0,3.4000000000000004,0.0,18.0,0.0,0.0,0.0,0.652167053241211,3.220232606558335,3.872399659799546,2.0540176358095
2011-12-02 15:00:00,0.6051472290288314,0.0,0.07165977657275213,0.0,0.0,0.0,0.0,0.6051472290288314,0.42186934793044006,0.0,0.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.07165977657275213,0.35020957135768793,0.42186934793044006,0.0
