ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
ID_electricity_bus_shortage,source,0,0,12.76,0,0.93,1397.12,0,0,0,2207443.29
ID_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_pv_bus_excess,sink,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_hp_electricity_bus_shortage,source,0,0,20.1,0,1.1,1614.16,0,0,0,3477789.72
district_chp_electricity_bus_excess,sink,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0
district_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_pv_to_ID_electricity_link,link,0.01,0,0.01,0,0.01,0.0,0.0,6.0,6,0.0
ID_electricity_sink,sink,12.77,0,0.0,0,0.93,0.0,0,0,0,0.0
ID_heat_sink,sink,79.67,0,0.0,0,4.94,0.0,0,0,0,0.0
ID_heat_sink_window-insulation,insulation,0,0,22.94,0,1.42,0.0,173386.03,1.42,1.42,1582.15
ID_cooling_sink,sink,120.0,0,0.0,0,5.0,0.0,0,0,0,0.0
ID_electricity_to_ID_hp_electricity_bus,link,0.0,0,0.0,0,0.0,0.0,0.0,17.0,17,0.0
ID_battery_storage,storage,0.0,0,0.0,0,2.1,0.0,1470.0,21.0,21,8400.0
ID_thermal_storage,storage,0.0,0,0.0,0,6.4,0.0,64.0,64.0,64,6400.0
ID_photovoltaic_electricity_source,source,0,0,0.01,0,0.01,0.0,1350.0,15.0,15,140.37
ID_solar_thermal_source,source,0.0,0.0,0.0,0,0.0,0.0,40.0,1.0,1,0.0
ID_gasheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,1330.0,19.0,19,0.0
ID_GCHP_transformer,transformer,43.59,13.14,56.73,0,3.52,0.0,2080.26,18.0,18,0.0
ID_ASCH_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,1800.0,18.0,18,0.0
ID_AbsCH_transformer,transformer,139.23,6.96,120.0,0,5.0,0.0,1200.0,12.0,12,0.0
ID_ASHP_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,2255.6,20.0,20,0.0
ID_chp_transformer,transformer,0.0,0,0.0,0.0,0.0,0.0,139550.0,2791.0,2791,0.0
