date,ID_electricity_bus_shortage_output1,ID_hp_electricity_bus_shortage_output1,ID_pv_to_ID_electricity_link_input1,ID_pv_to_ID_electricity_link_output1,ID_electricity_sink_input1,ID_heat_sink_input1,ID_heat_sink_window-insulation_output1,ID_cooling_sink_input1,ID_battery_storage_capacity,ID_thermal_storage_capacity,ID_photovoltaic_electricity_source_output1,ID_GCHP_transformer_input1,ID_GCHP_transformer_input2,ID_GCHP_transformer_output1,ID_AbsCH_transformer_input1,ID_AbsCH_transformer_input2,ID_AbsCH_transformer_output1
2012-01-01 00:00:00,0.2912219035789898,0.5455150910346893,0.0,0.0,0.2912219035789898,1.5534785740157577,0.44736193846134487,5.0,2.1,6.4,0.0,0.8499097206203524,0.25620691493406034,1.1061166355544128,5.786163522012578,0.2893081761006289,5.0
2012-01-01 01:00:00,0.215507205272396,0.5612816704152469,0.0,0.0,0.215507205272396,1.6490772554936506,0.4748919039051199,5.0,2.1,6.4,0.0,0.9022118572739128,0.271973494314618,1.1741853515885308,5.786163522012578,0.2893081761006289,5.0
2012-01-01 02:00:00,0.19752746161119958,0.573106604950665,0.0,0.0,0.19752746161119958,1.72077626660207,0.4955393779879512,5.0,2.1,6.4,0.0,0.9414384597640829,0.2837984288500361,1.225236888614119,5.786163522012578,0.2893081761006289,5.0
2012-01-01 03:00:00,0.1923333134424095,0.6151508166321518,0.0,0.0,0.1923333134424095,1.9757060838764509,0.5689526191713514,5.0,2.1,6.4,0.0,1.0809108241735765,0.3258426405315229,1.4067534647050994,5.786163522012578,0.2893081761006289,5.0
2012-01-01 04:00:00,0.19542982485072669,0.7202613458358689,0.0,0.0,0.19542982485072669,2.6130306270624026,0.7524857221298518,5.0,2.1,6.4,0.0,1.4295917351973109,0.43095316973524,1.8605449049325509,5.786163522012578,0.2893081761006289,5.0
2012-01-01 05:00:00,0.23393644252512233,0.9265407593981638,0.0,0.0,0.23393644252512233,3.8637800430648337,1.1126694366859091,5.0,2.1,6.4,0.0,2.11387802308139,0.6372325832975348,2.7511106063789246,5.786163522012578,0.2893081761006289,5.0
2012-01-01 06:00:00,0.4499430851214405,1.1039147774294362,0.0,0.0,0.4499430851214405,4.939265209691127,1.4223815479283786,5.0,2.1,6.4,0.0,2.7022770604339414,0.8146066013288072,3.5168836617627486,5.786163522012578,0.2893081761006289,5.0
2012-01-01 07:00:00,0.6464217283524036,1.0496153139098354,0.0,0.0,0.6464217283524036,4.604669824518503,1.3260266688751658,5.0,2.1,6.4,0.0,2.5192195821464813,0.759423573496856,3.278643155643337,5.803834808259587,0.2901917404129794,5.0
2012-01-01 08:00:00,0.666748827436034,0.9826073515424656,0.0,0.0,0.666748827436034,4.198375428237458,1.2090243157391218,5.0,2.1,6.4,0.0,2.2969355013688504,0.6924156111294862,2.9893511124983365,5.803834808259587,0.2901917404129794,5.0
2012-01-01 09:00:00,0.6154066705368397,0.9287382053255604,0.0,0.0,0.6154066705368397,3.8717465998546574,1.1149636004728902,5.0,2.1,6.4,0.0,2.118236534469186,0.638546464912581,2.756782999381767,5.803834808259587,0.2901917404129794,5.0
2012-01-01 10:00:00,0.5735287233373741,0.8827523487989344,0.006867390792524877,0.006867390792524877,0.580396114129899,3.592917112210804,1.0346678679285464,5.0,2.1,6.4,0.006867390792524877,1.9656886358963026,0.592560608385955,2.5582492442822575,5.803834808259587,0.2901917404129794,5.0
2012-01-01 11:00:00,0.5909342416646558,0.8551608348829587,0.0,0.0,0.5909342416646558,3.425619419624491,0.9864904284019397,5.0,2.1,6.4,0.0,1.874159896752572,0.5649690944699792,2.4391289912225513,5.803834808259587,0.2901917404129794,5.0
2012-01-01 12:00:00,0.6528145260986068,0.84727754519268,0.0,0.0,0.6528145260986068,3.377820078885545,0.9727254456800524,5.0,2.1,6.4,0.0,1.848008828425792,0.5570858047797005,2.4050946332054925,5.803834808259587,0.2901917404129794,5.0
2012-01-01 13:00:00,0.6467713344791491,0.8446497819625869,0.0,0.0,0.6467713344791491,3.3618869653058963,0.9681371181060899,5.0,2.1,6.4,0.0,1.839291805650199,0.5544580415496075,2.3937498471998064,5.803834808259587,0.2901917404129794,5.0
2012-01-01 14:00:00,0.5761009531441688,0.8604163613431446,0.0,0.0,0.5761009531441688,3.457485646783789,0.9956670835498649,5.0,2.1,6.4,0.0,1.8915939423037589,0.5702246209301651,2.461818563233924,5.803834808259587,0.2901917404129794,5.0
2012-01-01 15:00:00,0.5235102029351693,0.8853801120290272,0.0,0.0,0.5235102029351693,3.6088502257904524,1.0392561955025088,5.0,2.1,6.4,0.0,1.9744056586718959,0.5951883716160479,2.5695940302879436,5.803834808259587,0.2901917404129794,5.0
2012-01-01 16:00:00,0.5254580084984655,0.9195410340202352,0.0,0.0,0.5254580084984655,3.815980702325887,1.0989044539640216,5.0,2.1,6.4,0.0,2.0877269547546096,0.6293492936072559,2.7170762483618653,5.803834808259587,0.2901917404129794,5.0
2012-01-01 17:00:00,0.6426260046905955,0.9602713640866756,0.0,0.0,0.6426260046905955,4.062943962810443,1.1700235313604401,5.0,2.1,6.4,0.0,2.2228408077763064,0.6700796236736962,2.8929204314500025,5.803834808259587,0.2901917404129794,5.0
2012-01-01 18:00:00,0.830014888626176,0.9773518250822797,0.0,0.0,0.830014888626176,4.166509201078161,1.199847660591197,5.0,2.1,6.4,0.0,2.2795014558176634,0.6871600846693003,2.966661540486964,5.803834808259587,0.2901917404129794,5.0
