,costs,emissions
0,897776.16,707646.1700000002
1,335766.60000000003,755957.3
2,281042.77,804268.45
3,118233.59999999999,949201.86
4,5553.73,3123203.0100000002
5,5090.8,5055648.51
6,5030.07,5538759.88
