Processing Time,Memory Usage
0 days 00:00:00.858656,349.33203125
0 days 00:00:00.800270,352.3125
0 days 00:00:01.120261,366.19140625
0 days 00:00:01.917475,369.8828125
0 days 00:00:01.320210,366.80078125
0 days 00:00:01.514819,373.41796875
0 days 00:00:01.084255,368.16796875
0 days 00:00:02.115711,376.28515625
0 days 00:00:01.780934,377.3125
0 days 00:00:01.204903,374.171875
0 days 00:00:01.845500,379.765625
0 days 00:00:01.785180,382.6484375
0 days 00:00:01.840187,387.30859375
0 days 00:00:01.847551,389.38671875
0 days 00:00:02.617107,387.65625
0 days 00:00:01.221889,387.7734375
0 days 00:00:01.248673,388.14453125
0 days 00:00:01.658172,389.70703125
0 days 00:00:01.394566,393.28515625
0 days 00:00:01.472309,393.609375
0 days 00:00:01.038103,388.94921875
0 days 00:00:01.513557,395.83203125
0 days 00:00:01.577627,397.46484375
0 days 00:00:01.554244,399.140625
0 days 00:00:01.652432,401.8359375
0 days 00:00:01.099537,401.14453125
0 days 00:00:01.555681,404.87890625
0 days 00:00:01.581365,406.66796875
0 days 00:00:01.598563,409.9296875
0 days 00:00:01.057048,408.47265625
0 days 00:00:01.517720,410.48828125
0 days 00:00:01.576190,412.93359375
0 days 00:00:01.026199,411.3828125
0 days 00:00:01.526051,415.0625
0 days 00:00:01.101038,413.8984375
0 days 00:00:01.303972,413.2265625
0 days 00:00:01.309319,413.54296875
0 days 00:00:01.553796,413.55078125
0 days 00:00:01.916042,416.50390625
0 days 00:00:01.254303,413.33984375
0 days 00:00:01.837299,418.75
0 days 00:00:01.337520,420.2421875
0 days 00:00:01.984522,422.37890625
0 days 00:00:01.288612,420.125
0 days 00:00:01.970948,422.7421875
0 days 00:00:01.966323,426.46484375
0 days 00:00:01.317162,424.50390625
0 days 00:00:01.981848,427.703125
0 days 00:00:01.945417,429.5546875
0 days 00:00:02.049185,430.796875
0 days 00:00:01.301363,431.2890625
0 days 00:00:02.045595,434.0859375
0 days 00:00:01.299703,434.75390625
0 days 00:00:01.961786,436.828125
0 days 00:00:02.095486,441.0859375
0 days 00:00:01.282339,438.6328125
0 days 00:00:01.304633,439.6796875
0 days 00:00:02.079841,443.125
0 days 00:00:01.287757,440.67578125
0 days 00:00:02.280760,445.70703125
0 days 00:00:01.301068,445.4375
0 days 00:00:01.887590,446.8984375
0 days 00:00:02.365816,449.6953125
0 days 00:00:02.066737,451.61328125
0 days 00:00:01.754033,453.28515625
0 days 00:00:02.120714,455.03515625
0 days 00:00:01.952423,456.15234375
0 days 00:00:01.498037,454.4140625
0 days 00:00:01.978673,457.10546875
0 days 00:00:01.409670,454.96875
0 days 00:00:01.863039,458.671875
0 days 00:00:01.985080,459.58984375
0 days 00:00:01.946962,460.9140625
0 days 00:00:02.095966,464.52734375
0 days 00:00:01.642567,462.4765625
0 days 00:00:01.304365,461.6015625
0 days 00:00:02.063775,466.39453125
0 days 00:00:01.954569,467.765625
0 days 00:00:01.514898,465.546875
0 days 00:00:01.921305,468.42578125
0 days 00:00:01.949681,469.56640625
0 days 00:00:01.927685,474.0390625
0 days 00:00:01.696114,479.51171875
0 days 00:00:02.062252,479.81640625
0 days 00:00:01.284129,476.76171875
0 days 00:00:01.383108,478.0390625
0 days 00:00:02.096562,479.5625
0 days 00:00:01.348882,477.4453125
0 days 00:00:01.285220,476.390625
0 days 00:00:01.287720,476.4609375
0 days 00:00:01.929617,479.63671875
0 days 00:00:01.397319,477.27734375
0 days 00:00:02.347622,480.21875
0 days 00:00:01.422489,474.12890625
0 days 00:00:01.273056,478.109375
0 days 00:00:01.679740,478.09765625
0 days 00:00:01.296135,478.11328125
0 days 00:00:02.071716,481.7421875
0 days 00:00:01.637907,486.453125
0 days 00:00:01.697543,485.78515625
0 days 00:00:01.415242,483.140625
0 days 00:00:01.914709,487.421875
0 days 00:00:01.306109,495.56640625
0 days 00:00:01.270295,490.140625
0 days 00:00:02.164411,491.421875
0 days 00:00:01.490240,487.47265625
0 days 00:00:01.905806,491.1640625
0 days 00:00:02.054707,491.70703125
0 days 00:00:01.919443,493.40234375
0 days 00:00:01.878425,493.96875
0 days 00:00:01.965880,495.30078125
0 days 00:00:01.491786,491.81640625
0 days 00:00:01.991869,496.6953125
0 days 00:00:01.949802,498.8046875
0 days 00:00:01.972036,501.1640625
0 days 00:00:01.981195,502.203125
0 days 00:00:01.302760,499.5625
0 days 00:00:02.049834,506.828125
0 days 00:00:01.937452,506.92578125
0 days 00:00:01.878514,529.93359375
0 days 00:00:01.856790,520.640625
0 days 00:00:01.350531,515.73828125
0 days 00:00:01.954699,519.4375
0 days 00:00:01.380812,523.37109375
0 days 00:00:01.267070,524.16015625
0 days 00:00:01.304741,525.5
0 days 00:00:01.911272,528.49609375
0 days 00:00:01.277226,533.85546875
0 days 00:00:01.920557,528.22265625
0 days 00:00:01.299016,521.265625
0 days 00:00:01.916372,524.90625
0 days 00:00:01.274119,530.4375
0 days 00:00:01.294858,531.59765625
0 days 00:00:01.262992,531.62109375
0 days 00:00:02.461548,532.71484375
0 days 00:00:01.385062,523.20703125
