date,ID_electricity_bus_shortage_output1,ID_pv_bus_excess_input1,ID_hp_electricity_bus_shortage_output1,ID_pv_to_ID_electricity_link_input1,ID_pv_to_ID_electricity_link_output1,ID_electricity_sink_input1,ID_heat_sink_input1,ID_heat_sink_window-insulation_output1,ID_cooling_sink_input1,ID_electricity_to_ID_hp_electricity_bus_input1,ID_electricity_to_ID_hp_electricity_bus_output1,ID_battery_storage_input1,ID_battery_storage_output1,ID_battery_storage_capacity,ID_thermal_storage_input1,ID_thermal_storage_output1,ID_thermal_storage_capacity,ID_photovoltaic_electricity_source_output1,ID_GCHP_transformer_input1,ID_GCHP_transformer_input2,ID_GCHP_transformer_output1,ID_AbsCH_transformer_input1,ID_AbsCH_transformer_input2,ID_AbsCH_transformer_output1,ID_ASHP_transformer_input1,ID_ASHP_transformer_input2,ID_ASHP_transformer_output1
2011-12-02 00:00:00,0.3678355890686435,0.0,0.29926599882606086,0.0,0.0,0.3678355890686435,0.04847384568838622,0.03506494772014564,5.0,0.0,0.0,0.0,0.0,3.0772103444494476,0.0,0.0,10.0,0.0,0.003105868107106604,0.010303029861133978,0.013408897968240581,0.29616013071895425,5.923202614379085,5.0,0.0,0.0,0.0
2011-12-02 01:00:00,0.2738914284388922,0.0,0.29949676859776575,0.0,0.0,0.2738914284388922,0.05618559386608403,0.04064346213016881,5.0,0.0,0.0,0.0,0.0,3.0772103444494476,0.0,0.0,10.0,0.0,0.0035999834877826543,0.011942148248132564,0.015542131735915218,0.2958967851099831,5.917935702199662,5.0,0.0,0.0,0.0
2011-12-02 02:00:00,0.5475519651539973,0.0,0.0,0.0,0.0,0.24861989984843277,0.04737216737728653,0.03426801709014232,5.0,0.29893206530556454,0.29893206530556454,0.0,0.0,3.0772103444494476,0.0,0.0,10.0,0.0,0.0030352801955814543,0.010068870091562753,0.013104150287144206,0.2958967851099831,5.917935702199662,5.0,0.0,0.0,0.0
2011-12-02 03:00:00,0.535297397999638,0.0,0.0,0.0,0.0,0.23403632998990676,0.08813426488797493,0.06375445040026478,5.0,0.30126106800973135,0.30126106800973135,0.0,0.0,3.0772103444494476,0.0,0.0,10.0,0.0,0.005647032922012007,0.01873278156569814,0.02437981448771015,0.29561403508771933,5.912280701754387,5.0,0.0,0.0,0.0
2011-12-02 04:00:00,0.24362552660921152,0.0,0.309096326189023,0.0,0.0,0.24362552660921152,0.21042055742004015,0.15221375033063217,5.0,0.0,0.0,0.0,0.0,3.0772103444494476,0.0,0.0,10.0,0.0,0.013482291101303667,0.04472451598810431,0.05820680708940798,0.29561403508771933,5.912280701754387,5.0,0.0,0.0,0.0
2011-12-02 05:00:00,0.6341451038936348,0.0,0.0,0.0,0.0,0.29596655815624995,0.6643120215931111,0.48054916989199586,5.0,0.3381785457373848,0.3381785457373848,0.0,0.0,3.0772103444494476,0.0,0.0,10.0,0.0,0.0425645106496655,0.14119834105144974,0.18376285170111523,0.29561403508771933,5.912280701754387,5.0,0.0,0.0,0.0
2011-12-02 06:00:00,0.4889491401197583,0.0,0.36295530105887563,0.0,0.0,0.4889491401197583,1.0465943955447026,0.7570840985031445,5.0,0.0,0.0,0.0,0.0,3.0772103444494476,0.0,0.0,10.0,0.0,0.06705851594889259,0.22245178109266547,0.28951029704155806,0.2958967851099831,5.917935702199662,5.0,0.0,0.0,0.0
2011-12-02 07:00:00,1.000908248973639,0.0,0.0,0.0,0.0,0.6478201528593857,0.8846476838130484,0.6399352958926579,5.0,0.3530880961142532,0.3530880961142532,0.0,0.0,3.0772103444494476,0.0,0.0,10.0,0.0,0.0566820929546955,0.18803029496569504,0.24471238792039052,0.2964060031595577,5.928120063191153,5.0,0.0,0.0,0.0
2011-12-02 08:00:00,0.0,4.506016978580497,0.0,1.0475252672200637,1.0475252672200637,0.7074030256032948,0.6753288047041079,0.488518476192029,5.0,0.34012224161676885,0.34012224161676885,0.0,0.0,3.0772103444494476,0.0,0.0,10.0,5.553542245800561,0.04327038976491699,0.14353993874716198,0.18681032851207896,0.29685185185185187,5.937037037037038,5.0,0.0,0.0,0.0
2011-12-02 09:00:00,0.0,5.94031509115991,0.0,1.0565534852918792,1.0565534852918792,0.7195393525746024,0.6444818119933168,0.46620441855193634,5.0,0.33701413271727687,0.33701413271727687,0.0,0.0,3.0772103444494476,0.0,0.0,10.0,6.9968685764517895,0.0,0.0,0.0,0.29742547425474253,5.948509485094851,5.0,0.03958865846253435,0.1386887349788461,0.17827739344138044
2011-12-02 10:00:00,0.0,1.4104801876199593,0.0,6.257386722220046,6.257386722220046,0.6954165298291639,0.5805844699495348,0.41998244201174423,5.0,0.3307126068268204,0.3307126068268204,5.2312575855640615,0.0,8.30846793001351,0.0,0.0,10.0,7.667866909840005,0.0,0.0,0.0,0.29775641025641025,5.955128205128205,5.0,0.03295619657041014,0.12764583136738047,0.1606020279377906
2011-12-02 11:00:00,0.0,1.7431875903693674,0.0,6.270347836576442,6.270347836576442,0.7090012250398456,0.6004146795493293,0.4343271933518039,5.0,0.33008902597253487,0.33008902597253487,5.2312575855640615,0.0,13.539725515577572,0.0,0.0,10.0,8.01353542694581,0.0,0.0,0.0,0.29805352798053525,5.961070559610705,5.0,0.03203549799199959,0.13405198820552575,0.16608748619752534
