date,ID_electricity_bus_shortage_output1,ID_hp_electricity_bus_shortage_output1,district_chp_electricity_bus_excess_input1,district_gas_bus_shortage_output1,ID_electricity_sink_input1,ID_heat_sink_input1,ID_heat_sink_window-insulation_output1,ID_cooling_sink_input1,ID_battery_storage_capacity,ID_thermal_storage_capacity,ID_GCHP_transformer_input1,ID_GCHP_transformer_input2,ID_GCHP_transformer_output1,ID_AbsCH_transformer_input1,ID_AbsCH_transformer_input2,ID_AbsCH_transformer_output1,ID_chp_transformer_input1,ID_chp_transformer_output1,ID_chp_transformer_output2,ID_Diameter65L_f0-c0_exergy_input1,district_heat_bus_Diameter65L_p0-f4_exergy_input1,district_heat_bus_Diameter65L_p0-f4_exergy_output1,ID_street1_Diameter65L_f1-f0_exergy_output1,ID_street1_Diameter65L_f0-f4_exergy_input1,ID_street1_Diameter65L_f0-f4_exergy_output1,ID_street1_Diameter65L_f4-f2_exergy_input1,district_heat_bus_dh_source_link_exergy_input1,district_heat_bus_dh_source_link_exergy_output1
2012-01-01 00:00:00,0.2912219035789898,0.45815837122919023,327.9484935232912,936.9956957808321,0.2912219035789898,1.5534785740157577,0.8245052369909606,5.0,1.5,9.5,0.5601231418962359,0.16885019512856128,0.7289733370247972,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 01:00:00,0.215507205272396,0.46854915246787093,327.9484935232912,936.9956957808321,0.215507205272396,1.6490772554936506,0.8752440208057889,5.0,1.5,9.5,0.5945922583206197,0.179240976367242,0.7738332346878617,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 02:00:00,0.19752746161119958,0.4763422383968814,327.9484935232912,936.9956957808321,0.19752746161119958,1.72077626660207,0.9132981086669102,5.0,1.5,9.5,0.6204440956389075,0.1870340622962525,0.8074781579351599,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 03:00:00,0.1923333134424095,0.5040509883666966,327.9484935232912,936.9956957808321,0.1923333134424095,1.9757060838764509,1.048601532173119,5.0,1.5,9.5,0.7123617394372642,0.2147428122660677,0.9271045517033318,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 04:00:00,0.19542982485072669,0.5733228632912346,327.9484935232912,936.9956957808321,0.19542982485072669,2.6130306270624026,1.3868600909386413,5.0,1.5,9.5,0.9421558489331557,0.28401468719060563,1.2261705361237614,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 05:00:00,0.23393644252512233,0.7092689178306404,327.9484935232912,936.9956957808321,0.23393644252512233,3.8637800430648337,2.050692512515979,5.0,1.5,9.5,1.3931267888188432,0.4199607417300114,1.8130875305488545,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 06:00:00,0.4499430851214405,0.8261652067657981,327.9484935232912,936.9956957808321,0.4499430851214405,4.939265209691127,2.6215038304327978,5.0,1.5,9.5,1.7809043485931604,0.5368570306651692,2.3177613792583296,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 07:00:00,0.6464217283524036,0.7906810367427664,327.9484935232912,936.9956957808321,0.6464217283524036,4.604669824518503,2.4439180870808985,5.0,1.5,9.5,1.6602624411078173,0.5004892963297869,2.160751737437604,5.803834808259587,0.2901917404129794,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 08:00:00,0.666748827436034,0.7465202164783733,327.9484935232912,936.9956957808321,0.666748827436034,4.198375428237458,2.228278255867878,5.0,1.5,9.5,1.5137686963041865,0.4563284760653939,1.9700971723695804,5.803834808259587,0.2901917404129794,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 09:00:00,0.6154066705368397,0.7110183805795474,327.9484935232912,936.9956957808321,0.6154066705368397,3.8717465998546574,2.054920744500548,5.0,1.5,9.5,1.3959992151875416,0.420826640166568,1.8168258553541095,5.803834808259587,0.2901917404129794,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
