Processing Time,Memory Usage
0 days 00:00:00.662260,337.17578125
0 days 00:00:00.650818,346.41015625
0 days 00:00:00.355994,348.5390625
0 days 00:00:00.458731,351.0078125
0 days 00:00:00.355040,354.640625
0 days 00:00:00.356620,354.90625
0 days 00:00:00.496669,355.54296875
0 days 00:00:00.496052,358.15234375
0 days 00:00:00.455895,360.64453125
0 days 00:00:00.470460,362.86328125
0 days 00:00:00.339069,363.16015625
0 days 00:00:00.366643,362.7890625
0 days 00:00:00.387362,362.13671875
0 days 00:00:00.562418,364.16796875
0 days 00:00:00.402244,368.078125
0 days 00:00:00.377518,367.37109375
0 days 00:00:00.515075,367.70703125
0 days 00:00:00.381591,367.87890625
0 days 00:00:00.775504,370.45703125
0 days 00:00:00.397612,373.78515625
0 days 00:00:00.549384,373.9921875
0 days 00:00:00.424660,372.6875
0 days 00:00:00.508867,375.51953125
0 days 00:00:00.638141,375.6953125
0 days 00:00:00.520725,377.5703125
0 days 00:00:00.750023,379.01953125
0 days 00:00:00.625060,380.91015625
0 days 00:00:00.522909,381.37890625
0 days 00:00:00.683548,381.9296875
0 days 00:00:00.706020,384.2109375
0 days 00:00:00.539230,382.89453125
0 days 00:00:00.689969,385.34375
0 days 00:00:00.896000,390.5859375
0 days 00:00:00.883586,393.05078125
0 days 00:00:00.547876,392.86328125
0 days 00:00:00.743344,393.95703125
0 days 00:00:00.548754,394.06640625
0 days 00:00:00.552250,394.390625
0 days 00:00:00.755658,397.26953125
0 days 00:00:00.787566,398.6953125
0 days 00:00:00.774934,398.5703125
0 days 00:00:00.579038,399.80078125
0 days 00:00:00.587783,399.828125
0 days 00:00:00.591732,400.25
0 days 00:00:00.787740,402.3203125
0 days 00:00:00.600984,401.2421875
0 days 00:00:00.775003,403.24609375
0 days 00:00:00.733489,403.296875
0 days 00:00:00.969787,408.015625
0 days 00:00:00.545653,410.08984375
0 days 00:00:00.789872,412.15625
0 days 00:00:00.555591,412.515625
0 days 00:00:00.775865,412.4609375
0 days 00:00:00.546811,413.578125
0 days 00:00:00.599382,413.5859375
0 days 00:00:00.579707,413.8671875
0 days 00:00:00.746851,415.25
0 days 00:00:00.560782,415.39453125
0 days 00:00:00.728105,416.50390625
0 days 00:00:00.593406,415.99609375
