,reductionco2,Electricity Demand,PV,PV_south,PV_excess,battery_losses,natural_gas_CHP,natural_gas_CHP_excess,ST_electricity,GCHP,ASCH,ASHP,AbsCH,grid_import
0,0.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.19,0.0,0.0,6.96,37.92
0,10.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.49,0.0,0.0,6.96,37.22
0,50.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.77,0.0,0.0,6.96,32.5
0,95.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.46,0.0,0.0,6.96,27.189999999999998
0,98.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11,0.0,0.0,6.96,26.84
0,99.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,0.0,0.0,6.96,26.72
0,100.0,12.77,0.01,0.01,0.0,0.0,0.0,0.0,0.0,6.88,0.0,0.0,6.96,26.6
