Costs,Emissions,Folder
259426.39,6644708.54,2
2980388.84,1087368566.75,3
687461.76,7745435.27,4
2832069.31,1088374691.3,5
197410.75,6607445.98,6
43409.79,6617415.5,7
2818597.36,1088363652.81,9
107766.35,6544202.12,13
344215.95,8693310.27,14
2748491.91,1087280002.14,15
400753.12,6623070.74,16
827792.91,4914462.33,17
3144417.23,1086514269.54,18
214903.1,6301662.76,19
2732834.74,1088374565.16,20
500715.99,6627853.85,21
3019338.49,1087515756.87,22
560153.39,6833181.35,23
3035258.27,1086817754.34,25
92878.35,6642965.19,26
2967807.28,1090208233.6,27
2933350.71,1090076442.91,28
292112.72,5929312.17,29
3189744.0,1087568972.37,30
2776879.54,1091497588.97,31
702461.6,5558202.12,32
2638666.82,1088928578.67,34
2940231.12,1087705425.74,35
608138.19,5929094.75,36
2897005.29,1088563749.15,37
612723.46,5823280.97,38
235762.24,5592656.28,39
2570267.53,1088348348.4,40
2681351.73,1087493431.43,41
2937149.76,1088183350.48,42
365016.43,7460690.67,43
759676.08,5124364.79,44
491868.24,7134866.31,45
2852846.35,1087514131.35,46
270299.14,6003567.27,47
2820620.79,1087224629.16,48
2579511.38,1088463392.89,49
2618583.32,1088380752.49,50
437555.51,5544427.76,51
3003994.99,1087501572.45,52
186290.96,6643155.0,53
2689678.71,1088355436.92,54
19915.25,6646526.39,55
138407.98,6325958.03,56
210266.67,6622066.1,57
2855783.98,1088372528.55,58
504094.57,6630437.86,59
3147824.14,1086922490.46,60
349171.1,9177636.33,61
2671976.05,1091691269.42,62
281472.89,5448883.06,63
2643731.03,1089472883.05,64
741665.19,6039303.86,65
2715832.19,1087712872.4,66
3059709.14,1087434598.84,67
377291.24,5971411.0,68
245497.28,5416627.06,69
2591913.1,1088243427.57,70
310378.51,9467005.31,71
703447.53,5161546.95,72
2882693.51,1088368266.52,73
2960577.35,1087959360.53,74
2463239.45,1088358016.73,75
2792380.55,1086830640.68,76
2726122.64,1087567894.78,77
2856692.53,1088424080.33,78
2821335.24,1089322451.65,79
3156338.91,1086630810.83,80
2572880.42,1088561444.85,81
278081.86,6603393.11,82
94395.64,6617393.2,83
2675174.24,1087265587.22,84
2596924.31,1088355443.18,85
79448.05,7985475.0,86
239814.57,7483250.2,87
2669730.3,1087365997.4,88
230112.2,5825207.62,89
2812153.35,1087720015.44,90
2905765.03,1089936817.03,91
2558111.42,1088352377.55,92
96006.41,6636503.49,93
134795.72,6552430.59,94
303891.68,6639001.53,95
256746.6,5690344.99,96
2791977.93,1088823936.19,98
2983324.39,1086411156.03,99
2627180.37,1088380126.31,100
358606.35,6628869.84,101
352071.07,5412827.98,102
2830318.15,1088408191.63,103
172161.22,6642982.22,104
2534160.98,1088454636.97,105
