date,ID_electricity_bus_shortage_output1,ID_pv_bus_excess_input1,ID_hp_electricity_bus_shortage_output1,ID_electricity_sink_input1,ID_heat_sink_input1,ID_heat_sink_window-insulation_output1,ID_cooling_sink_input1,ID_pv_to_ID_electricity_link_input1,ID_pv_to_ID_electricity_link_output1,ID_electricity_to_ID_hp_electricity_bus_input1,ID_electricity_to_ID_hp_electricity_bus_output1,ID_battery_storage_input1,ID_battery_storage_output1,ID_battery_storage_capacity,ID_thermal_storage_input1,ID_thermal_storage_output1,ID_thermal_storage_capacity,ID_photovoltaic_electricity_source_output1,ID_GCHP_transformer_input1,ID_GCHP_transformer_input2,ID_GCHP_transformer_output1,ID_ASCH_transformer_output1,ID_AbsCH_transformer_input1,ID_AbsCH_transformer_input2,ID_AbsCH_transformer_output1,ID_ASHP_transformer_input1,ID_ASHP_transformer_input2,ID_ASHP_transformer_output1
2011-12-02 14:00:00,0.0,0.0,0.0,0.6581085617321814,0.44287468106207406,0.32036611,5.0,8.2160705,8.2160705,3.1821197,3.1821197,4.3758422,0.0,20.728697,17.0,0.0,56.0,8.2160705,0.0,0.0,0.0,-8.8817842e-16,0.29844633,5.9689266,5.0,2.8836734,14.238835,17.122509
2011-12-02 15:00:00,0.0,0.0,0.0,0.5932815970870897,0.39550251368478756,0.2860981,5.0,0.0,0.0,3.2046923,3.2046923,0.0,3.7979739,16.853214,17.0,0.0,73.0,0.0,0.0,0.0,0.0,8.8817842e-16,0.29844633,5.9689266,5.0,2.906246,14.203158,17.109404
2011-12-02 16:00:00,0.0,0.0,0.0,0.5733041041302048,0.46380656897296807,0.3355078,5.0,0.0,0.0,3.248245,3.248245,0.0,3.8215491,12.953674,17.0,0.0,90.0,0.0,0.0,0.0,0.0,1.7763568e-15,0.29844633,5.9689266,5.0,2.9497987,14.1785,17.128299
2011-12-02 17:00:00,0.0,0.0,0.0,0.6117607780722083,0.5508391555498434,0.39846532,5.0,0.0,0.0,0.32722264,0.32722264,0.0,0.93898342,11.995527,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.29805353,5.9610706,5.0,0.029169111,0.12320473,0.15237384
2011-12-02 18:00:00,0.0,0.0,0.0,0.710050043420082,0.5343139808833481,0.38651136,5.0,0.0,0.0,0.32814019,0.32814019,0.0,1.0381902,10.936149,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.29775641,5.9551282,5.0,0.030383777,0.11741885,0.14780263
2011-12-02 19:00:00,0.0,0.0,0.0,0.8249206279221704,0.5618559386608402,0.40643462,5.0,0.0,0.0,0.33132029,0.33132029,0.0,1.1562409,9.7563118,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.29759552,5.9519104,5.0,0.03372477,0.12169655,0.15542132
2011-12-02 20:00:00,0.0,0.0,0.0,0.8319626941894723,0.5805844699495348,0.41998244,5.0,0.0,0.0,0.3334912,0.3334912,0.0,1.1654539,8.5670732,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.29724547,5.9449093,5.0,0.03624573,0.1243563,0.16060203
2011-12-02 21:00:00,0.0,0.0,0.0,0.7868635038393046,0.4979585966170583,0.36021264,5.0,0.0,0.0,0.2970546,0.2970546,0.0,1.0839181,7.4610343,0.0,0.13774595,89.859443,0.0,0.0,0.0,0.0,0.0,0.2970546,5.941092,5.0,0.0,0.0,0.0
2011-12-02 22:00:00,0.0,0.0,0.0,0.7217368767998599,0.28753803919701826,0.20799889,5.0,0.0,0.0,0.29616013,0.29616013,0.0,1.017897,6.4223639,0.0,0.079539145,89.778281,0.0,0.0,0.0,0.0,0.0,0.29616013,5.9232026,5.0,0.0,0.0,0.0
2011-12-02 23:00:00,0.0,0.0,0.0,0.5597693526519153,0.11898125759876618,0.086068508,5.0,0.0,0.0,0.29616013,0.29616013,0.0,0.85592948,5.5489664,0.0,0.03291275,89.744696,0.0,0.0,0.0,0.0,0.0,0.29616013,5.9232026,5.0,0.0,0.0,0.0
2011-12-03 00:00:00,0.0,0.0,0.0,0.2912219035789898,6.700826913590855,4.8472355,0.0,0.0,0.0,-0.0,0.0,0.0,0.2912219,5.2518012,0.0,1.8535914,87.853276,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2011-12-03 01:00:00,0.0,0.0,0.0,0.215507205272396,6.676895388899458,4.8299239,0.0,0.0,0.0,-0.0,0.0,0.0,0.21550721,5.0318959,0.0,1.8469714,85.968612,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2011-12-03 02:00:00,0.0,0.0,0.0,0.19752746161119958,6.84441606173923,4.9511048,0.0,0.0,0.0,-0.0,0.0,0.0,0.19752746,4.8303373,0.0,1.8933112,84.036661,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2011-12-03 03:00:00,0.0,0.0,0.0,0.1923333134424095,7.011936734579001,5.0722857,0.0,0.0,0.0,-0.0,0.0,0.0,0.19233331,4.6340788,0.0,1.939651,82.057426,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
