,reductionco2,Heat Demand,GCHP,ASHP,nautral_gasheating,thermal_storage_losses,DH
0,0.0,84.99,83.76,0.0,1.22,0.0,0.0
0,10.0,84.99,83.88,0.0,1.1,0.0,0.0
0,50.0,84.99,84.37,0.0,0.61,0.0,0.0
0,95.0,84.99,84.92,0.0,0.06,0.0,0.0
0,98.0,84.99,84.96,0.0,0.02,0.0,0.0
0,99.0,84.99,84.97,0.0,0.01,0.0,0.0
0,100.0,84.99,84.99,0.0,0.0,0.0,0.0
