,costs,emissions
0,8845.42,5658135.54
1,4064.74,5658538.430000001
2,4064.32,5658941.319999999
3,4063.0699999999997,5660150.05
4,4050.0999999999995,5678280.760000001
5,4044.54,5694396.9799999995
6,4043.16,5698426.03
