Costs,Emissions,Folder
7024.68,5660146.68,2
6942.91,7617248.26,3
4720.72,5659898.08,4
7192.27,5660864.25,5
6893.56,5662250.82,6
6715.26,5661582.89,7
7377.28,5661295.47,8
7456.75,5660510.62,9
7053.81,5659952.15,10
6993.7,5660024.07,11
6849.76,5658501.85,12
5178.53,5660650.37,13
6477.51,5660183.2,14
6546.44,5663633.54,15
6871.83,5691136.9,16
8048.61,7316413.15,17
6027.55,5659120.86,18
7090.57,5670318.85,19
6881.77,5661206.76,20
6854.91,5703338.94,21
7211.09,5662160.09,22
6737.61,5662939.13,23
5952.19,5659287.91,24
5321.04,5660822.98,25
8685.97,5659011.37,26
4798.13,5843803.02,27
7602.28,5660015.44,28
5627.4,7303229.28,29
7825.07,6273205.93,30
6934.14,7368646.69,31
6248.74,5660319.96,32
6436.31,7428330.19,33
5622.05,5659222.85,34
5997.08,5963842.15,35
7231.3,5660767.86,36
6368.02,5659573.15,37
5747.14,5663676.31,38
7264.38,5663775.18,39
7100.15,6631833.74,40
7419.19,5659531.52,41
7486.21,5663096.46,42
8293.31,5662302.8,43
5837.58,5661299.32,44
8070.36,5662153.41,45
6065.72,5658927.94,46
7349.98,5661989.87,47
6634.91,5660609.91,48
6676.69,5660869.93,49
6484.31,6062600.26,50
6907.81,5661038.43,51
6619.29,5662978.01,52
8169.09,5662261.05,53
6874.5,5659570.29,54
6772.68,7343667.3,55
5363.29,5660702.71,56
8065.08,7245373.58,57
6419.67,7675893.66,58
6152.77,7270701.48,59
7639.17,5659228.27,60
5740.39,5662504.2,61
7785.34,5661649.82,62
6124.6,6569807.86,63
5899.07,5681482.21,64
7615.05,5659859.44,65
5768.32,5701346.07,66
5752.9,5662131.7,67
8497.85,5663645.8,68
7728.43,5661466.47,69
7576.84,5659696.15,70
5498.81,5660128.04,71
7371.33,5663383.1,72
6355.79,5802680.91,73
6094.02,5660715.62,74
6794.27,5661940.83,75
6752.37,5662671.26,76
8505.03,5660597.93,77
4838.95,5659344.3,78
7282.58,5661509.64,79
5759.81,5816280.14,80
7852.08,5659653.88,81
7616.0,5659263.74,82
6393.4,5661051.71,83
6228.44,5665190.06,84
6284.26,5942957.5,85
5505.25,5661451.34,86
5728.35,5660819.78,87
4751.98,5802064.63,88
5450.33,7454621.86,89
5663.16,6492148.57,90
5694.35,6495520.63,91
8036.72,5662300.95,92
7097.32,5659368.35,93
5326.47,5660938.29,94
7194.35,6382890.81,95
5444.91,5661079.07,96
7290.21,5661532.09,97
4762.3,5658526.05,98
7123.81,5661848.3,99
7868.6,5661335.15,100
7118.72,7162324.14,101
6336.01,5661201.3,102
6548.8,5660982.0,103
6343.7,6211498.21,104
8062.41,5661068.05,105
8463.66,5660008.67,106
6408.95,5661491.63,107
6036.02,5660078.94,108
5799.29,6305089.24,109
5572.29,5665244.03,110
6355.26,6120441.66,111
7120.0,5660757.91,112
6420.85,5661668.3,113
7234.36,5659271.62,114
5681.81,5845150.81,115
5165.84,7888335.65,116
8372.48,5662053.5,117
7063.11,5663649.06,118
5928.13,5659643.3,119
6565.42,6434666.57,120
7435.55,5661887.34,121
7004.33,5663169.88,122
6068.74,5660710.68,123
6098.57,7751594.02,124
5846.19,5659650.87,125
5984.61,5659033.57,126
8283.96,5659066.95,127
7238.35,5659474.75,128
5669.41,6606200.25,129
6629.47,7361392.17,130
6132.21,5661139.74,131
6067.14,6751312.64,132
7898.23,5661339.19,133
7158.37,5662573.12,134
7878.19,5662172.29,135
5319.61,5687576.06,136
7427.51,5661030.43,137
6124.06,5661713.84,138
5604.0,6052535.8,139
7273.38,5660823.53,140
6184.5,5663112.24,141
7580.35,6558767.72,142
5019.83,8195536.42,143
6050.96,5659794.56,144
7007.3,5661767.55,145
5958.88,6095006.3,146
5493.43,6140511.61,147
7709.15,5658735.43,148
5928.75,5660055.02,149
5586.66,6607042.05,150
7799.85,5658785.87,151
8377.69,5661975.39,152
6411.7,5840186.35,153
5999.73,5659670.73,154
6506.32,5660424.26,155
6017.08,5662582.13,156
6757.08,7482086.96,157
7977.93,5662842.9,158
5575.34,5670448.94,159
6565.31,6008358.87,160
6989.11,5661597.84,161
8103.3,5662442.08,162
6960.29,5661262.01,163
8238.58,5662361.81,164
7042.82,5661166.67,165
5887.56,5662508.29,166
7221.73,5661487.19,167
6260.57,6216794.84,168
7023.48,6226960.3,169
6778.02,5661011.74,170
6896.22,5660657.38,171
5195.54,5671749.41,172
6336.27,5661360.27,173
6466.71,5660784.61,174
7467.22,5668417.46,175
6865.32,5659615.44,176
6796.48,5660178.18,177
6509.45,6459330.62,178
6881.31,6625816.98,179
6396.77,5662005.5,180
6199.54,5663122.61,181
7807.84,5659376.7,182
6569.97,5661351.12,183
6012.97,5663033.58,184
7436.36,5659233.69,185
4842.05,6686798.19,186
6709.17,6818055.15,187
6784.26,7067833.33,188
6385.58,5908296.74,189
6973.36,5662975.15,190
7500.66,5661629.3,191
8429.29,5660849.93,192
7780.8,5660553.74,193
7453.28,5660622.39,194
6884.05,5658998.48,195
6677.08,6878152.77,196
5523.6,5660907.02,197
6718.09,5663759.68,198
7591.13,5660433.74,199
8698.6,5661654.83,200
7259.52,5660396.34,201
6514.96,5662406.39,202
6047.84,5661668.28,203
8030.35,5661452.8,204
7914.54,5661966.88,205
5062.48,5659810.87,206
6860.28,5662524.12,207
6819.55,5661570.3,208
7083.1,5662190.97,209
6614.45,5658610.14,210
5486.27,6154174.59,211
