Processing Time,Memory Usage
0 days 00:00:00.449007,334.3359375
0 days 00:00:00.148786,339.59375
0 days 00:00:00.147376,338.69140625
0 days 00:00:00.180821,341.0390625
0 days 00:00:00.143655,343.078125
0 days 00:00:00.142820,343.97265625
0 days 00:00:00.144478,345.0859375
0 days 00:00:00.161612,344.24609375
0 days 00:00:00.142487,344.1796875
0 days 00:00:00.143449,343.6875
0 days 00:00:00.143084,344.375
0 days 00:00:00.151138,343.3125
0 days 00:00:00.142266,343.578125
0 days 00:00:00.144478,343.8515625
0 days 00:00:00.151484,343.83203125
0 days 00:00:00.145445,344.65625
0 days 00:00:00.140271,344.62109375
0 days 00:00:00.146441,343.89453125
0 days 00:00:00.138687,344.82421875
0 days 00:00:00.146582,344.75
0 days 00:00:00.251000,344.8984375
0 days 00:00:00.162665,345.5
0 days 00:00:00.157835,347.1484375
0 days 00:00:00.145072,346.0
0 days 00:00:00.145537,347.0625
0 days 00:00:00.170130,345.36328125
0 days 00:00:00.152089,346.67578125
0 days 00:00:00.202224,346.359375
0 days 00:00:00.167214,346.86328125
0 days 00:00:00.159890,346.81640625
0 days 00:00:00.153013,346.28125
0 days 00:00:00.401971,346.63671875
0 days 00:00:00.160991,347.11328125
0 days 00:00:00.153883,347.05078125
0 days 00:00:00.185074,347.03125
0 days 00:00:00.165134,346.43359375
0 days 00:00:00.159190,346.32421875
0 days 00:00:00.276148,346.33203125
0 days 00:00:00.183946,346.61328125
0 days 00:00:00.160959,346.69140625
0 days 00:00:00.168791,347.08203125
0 days 00:00:00.171434,347.734375
0 days 00:00:00.177164,347.68359375
0 days 00:00:00.189325,339.859375
0 days 00:00:00.169962,347.94921875
0 days 00:00:00.173933,347.80078125
0 days 00:00:00.181145,347.703125
0 days 00:00:00.197161,347.49609375
0 days 00:00:00.200495,347.7890625
0 days 00:00:00.182484,347.54296875
0 days 00:00:00.179978,347.55078125
0 days 00:00:00.178437,347.796875
0 days 00:00:00.167266,347.484375
0 days 00:00:00.185189,347.48828125
