date,ID_electricity_bus_shortage_output1,ID_gas_bus_shortage_output1,ID_pv_bus_excess_input1,ID_hp_electricity_bus_shortage_output1,ID_pv_to_ID_electricity_link_input1,ID_pv_to_ID_electricity_link_output1,ID_electricity_to_ID_hp_electricity_bus_input1,ID_electricity_to_ID_hp_electricity_bus_output1,ID_electricity_sink_input1,ID_heat_sink_input1,ID_cooling_sink_input1,ID_gasheating_transformer_input1,ID_gasheating_transformer_output1,ID_GCHP_transformer_input1,ID_GCHP_transformer_input2,ID_GCHP_transformer_output1,ID_AbsCH_transformer_input1,ID_AbsCH_transformer_input2,ID_AbsCH_transformer_output1,ID_photovoltaic_electricity_source_output1
2011-12-02 00:00:00,0.3678355890686435,0.0,0.0,0.3073880013246488,0.0,0.0,0.0,0.0,0.3678355890686435,0.04847384568838622,5.0,0.0,0.0,0.011227870605694544,0.037245975082691674,0.04847384568838622,0.29616013071895425,5.923202614379085,5.0,0.0
2011-12-02 01:00:00,0.2738914284388922,0.0,0.0,0.30891090785749264,0.0,0.0,0.0,0.0,0.2738914284388922,0.05618559386608403,5.0,0.0,0.0,0.013014122747509585,0.043171471118574445,0.05618559386608403,0.2958967851099831,5.917935702199662,5.0,0.0
2011-12-02 02:00:00,0.24861989984843277,0.0,0.0,0.3068694768382755,0.0,0.0,0.0,0.0,0.24861989984843277,0.04737216737728653,5.0,0.0,0.0,0.010972691728292395,0.03639947564899414,0.04737216737728653,0.2958967851099831,5.917935702199662,5.0,0.0
2011-12-02 03:00:00,0.23403632998990676,0.0,0.0,0.3160283452798912,0.0,0.0,0.0,0.0,0.23403632998990676,0.08813426488797493,5.0,0.0,0.0,0.020414310192171894,0.06771995469580304,0.08813426488797493,0.29561403508771933,5.912280701754387,5.0,0.0
2011-12-02 04:00:00,0.24362552660921152,0.0,0.0,0.34435320067152975,0.0,0.0,0.0,0.0,0.24362552660921152,0.21042055742004015,5.0,0.0,0.0,0.0487391655838104,0.16168139183622976,0.21042055742004015,0.29561403508771933,5.912280701754387,5.0,0.0
2011-12-02 05:00:00,0.29596655815624995,0.0,0.0,0.449486898161215,0.0,0.0,0.0,0.0,0.29596655815624995,0.6643120215931111,5.0,0.0,0.0,0.15387286307349568,0.5104391585196154,0.6643120215931111,0.29561403508771933,5.912280701754387,5.0,0.0
2011-12-02 06:00:00,0.4889491401197583,0.0,0.0,0.5383167186420243,0.0,0.0,0.0,0.0,0.4889491401197583,1.0465943955447026,5.0,0.0,0.0,0.2424199335320413,0.8041744620126613,1.0465943955447026,0.2958967851099831,5.917935702199662,5.0,0.0
2011-12-02 07:00:00,0.6478201528593857,0.0,0.0,0.5013146417134831,0.0,0.0,0.0,0.0,0.6478201528593857,0.8846476838130484,5.0,0.0,0.0,0.20490863855392538,0.679739045259123,0.8846476838130484,0.2964060031595577,5.928120063191153,5.0,0.0
2011-12-02 08:00:00,0.0,0.0,4.1724320550449585,0.0,1.160679529302664,1.160679529302664,0.453276503699369,0.453276503699369,0.7074030256032948,0.6753288047041079,5.0,0.0,0.0,0.15642465184751717,0.5189041528565909,0.6753288047041079,0.29685185185185187,5.937037037037038,5.0,5.3331115843476224
2011-12-02 09:00:00,0.0,0.0,5.55290507583102,0.0,1.166244470109602,1.166244470109602,0.44670511753499953,0.44670511753499953,0.7195393525746024,0.6444818119933168,5.0,0.0,0.0,0.149279643280257,0.4952021687130598,0.6444818119933168,0.29742547425474253,5.948509485094851,5.0,6.719149545940621
2011-12-02 10:00:00,0.0,0.0,6.235862469930085,0.0,1.1276522084765066,1.1276522084765066,0.4322356786473426,0.4322356786473426,0.6954165298291639,0.5805844699495348,5.0,0.0,0.0,0.13447926839093235,0.4461052015586025,0.5805844699495348,0.29775641025641025,5.955128205128205,5.0,7.363514678406592
2011-12-02 11:00:00,0.0,0.0,6.54933571297418,0.0,1.1461272412045518,1.1461272412045518,0.43712601616470625,0.43712601616470625,0.7090012250398456,0.6004146795493293,5.0,0.0,0.0,0.13907248818417103,0.46134219136515825,0.6004146795493293,0.29805352798053525,5.961070559610705,5.0,7.695462954178732
2011-12-02 12:00:00,0.0,0.0,6.331832307364771,0.0,1.2199114658064951,1.2199114658064951,0.43164953746020873,0.43164953746020873,0.7882619283462864,0.5761777567051362,5.0,0.0,0.0,0.13345855288132377,0.4427192038238124,0.5761777567051362,0.29819098457888493,5.963819691577698,5.0,7.551743773171267
2011-12-02 13:00:00,0.0,0.0,5.830107514661151,0.0,1.1677019483344033,1.1677019483344033,0.405111098437714,0.405111098437714,0.7625908498966893,0.460501534039669,5.0,0.0,0.0,0.10666477075409814,0.35383676328557084,0.460501534039669,0.29844632768361584,5.9689265536723175,5.0,6.997809462995554
2011-12-02 14:00:00,0.0,0.0,2.7846018253675466,0.0,1.059136798131461,1.059136798131461,0.40102823639927965,0.40102823639927965,0.6581085617321814,0.44287468106207406,5.0,0.0,0.0,0.10258190871566378,0.3402927723464103,0.44287468106207406,0.29844632768361584,5.9689265536723175,5.0,3.8437386234990076
2011-12-02 15:00:00,0.5932815970870897,0.0,0.0,0.39005554467098724,0.0,0.0,0.0,0.0,0.5932815970870897,0.39550251368478756,5.0,0.0,0.0,0.09160921698737139,0.30389329669741616,0.39550251368478756,0.29844632768361584,5.9689265536723175,5.0,0.0
2011-12-02 16:00:00,0.5733041041302048,0.0,0.0,0.40587663506992044,0.0,0.0,0.0,0.0,0.5733041041302048,0.46380656897296807,5.0,0.0,0.0,0.1074303073863046,0.35637626158666347,0.46380656897296807,0.29844632768361584,5.9689265536723175,5.0,0.0
