Processing Time,Memory Usage
0 days 00:00:00.236158,347.4453125
0 days 00:00:00.219844,346.5859375
0 days 00:00:00.164410,346.203125
0 days 00:00:00.139848,346.72265625
0 days 00:00:00.210239,346.0390625
0 days 00:00:00.272057,346.40234375
0 days 00:00:00.141542,346.3984375
0 days 00:00:00.142092,346.81640625
0 days 00:00:00.136792,346.32421875
0 days 00:00:00.149147,345.6875
0 days 00:00:00.131532,346.8203125
0 days 00:00:00.140581,345.9453125
0 days 00:00:00.132713,345.2421875
0 days 00:00:00.154793,346.92578125
0 days 00:00:00.158660,346.46875
0 days 00:00:00.148970,346.40625
0 days 00:00:00.139177,347.0
0 days 00:00:00.139826,345.546875
0 days 00:00:00.138913,345.859375
0 days 00:00:00.136427,345.79296875
0 days 00:00:00.204880,345.5078125
0 days 00:00:00.175360,345.890625
0 days 00:00:00.174707,345.39453125
0 days 00:00:00.177826,345.8671875
0 days 00:00:00.168726,346.8671875
0 days 00:00:00.164285,345.40625
0 days 00:00:00.165678,345.171875
0 days 00:00:00.171894,346.734375
0 days 00:00:00.169403,346.7578125
0 days 00:00:00.152015,346.4921875
0 days 00:00:00.228960,345.34375
0 days 00:00:00.214285,339.609375
0 days 00:00:00.232660,345.38671875
0 days 00:00:00.147893,347.50390625
0 days 00:00:00.139424,346.65234375
0 days 00:00:00.143507,347.19140625
0 days 00:00:00.140082,346.00390625
0 days 00:00:00.236431,347.25
0 days 00:00:00.136352,346.71484375
0 days 00:00:00.139747,346.421875
0 days 00:00:00.125129,346.98046875
0 days 00:00:00.138437,346.37890625
0 days 00:00:00.141958,346.8671875
0 days 00:00:00.134160,346.046875
0 days 00:00:00.144897,347.21484375
0 days 00:00:00.141104,345.7578125
0 days 00:00:00.130869,346.55078125
0 days 00:00:00.137993,347.02734375
0 days 00:00:00.145404,346.63671875
0 days 00:00:00.148690,347.19140625
0 days 00:00:00.142351,345.671875
0 days 00:00:00.143230,347.1484375
0 days 00:00:00.156753,346.4765625
0 days 00:00:00.236670,347.734375
0 days 00:00:00.144994,346.05859375
0 days 00:00:00.135189,347.859375
0 days 00:00:00.133495,347.40234375
0 days 00:00:00.132504,347.27734375
0 days 00:00:00.168422,347.2734375
0 days 00:00:00.136152,347.484375
0 days 00:00:00.138856,346.59765625
0 days 00:00:00.130195,346.94921875
0 days 00:00:00.137266,347.234375
0 days 00:00:00.192768,345.27734375
0 days 00:00:00.145485,347.203125
