Costs,Emissions,Folder
5359.23,6531730.69,2
6939.25,5661735.54,3
7181.62,7621428.78,4
6772.84,5660035.54,5
5550.74,5661735.54,6
8008.15,5659635.54,7
7093.73,5659035.54,8
7873.71,5659435.54,9
7961.58,5661535.54,10
6750.83,5659635.54,11
6986.26,5659835.54,12
7079.34,5668616.56,13
6466.17,7633693.84,14
6683.31,5659735.54,15
6212.76,5661435.54,16
6077.39,7632893.84,17
6933.9,5663684.79,18
5282.91,5763921.68,19
5091.24,5809957.03,20
5942.79,5660435.54,21
7630.88,5660935.54,22
6221.03,5766021.68,23
5682.82,5658335.54,24
7311.41,5661135.54,25
6341.88,6107798.23,26
6975.67,5663435.54,27
7063.0,6108398.23,28
5338.64,7071579.64,29
7091.04,5662235.54,30
4979.68,7667039.89,31
7387.79,5661235.54,32
5731.71,5660035.54,33
7090.43,5661435.54,34
7276.34,6111898.23,35
6510.28,5659084.79,36
6447.56,6108698.23,37
5371.52,5659735.54,38
7646.94,5659035.54,39
8671.51,5660935.54,40
5803.43,8233054.05,41
7299.01,5661935.54,42
8946.85,5660035.54,43
8177.43,5659435.54,44
6712.42,5662435.54,45
6815.01,5659735.54,46
7574.59,5660635.54,47
6952.05,5767221.68,48
7586.05,5766421.68,49
6738.62,5661335.54,50
6712.5,5659835.54,51
6769.15,5662435.54,52
4744.0,6300953.65,53
7303.54,5662435.54,54
7318.91,5663935.54,55
7282.43,5663335.54,56
6930.27,5661335.54,57
6839.28,5664135.54,58
5873.92,5660784.79,59
7206.53,5660335.54,60
5807.29,5663884.79,61
6299.08,5661935.54,62
6067.86,7072179.64,63
6867.78,5668016.56,64
7136.11,5660135.54,65
6804.75,5661835.54,66
5447.71,5658835.54,67
5813.65,7630454.73,68
5927.42,5666916.56,69
8263.51,5662935.54,70
4639.5,6721736.89,71
4332.24,5807857.03,72
7749.85,5659735.54,73
5604.24,5659335.54,74
6703.07,5664135.54,75
6947.54,7073079.64,76
5158.73,5658935.54,77
8467.3,5660435.54,78
6482.25,5662135.54,79
5726.63,5659735.54,80
6833.49,5661735.54,81
6646.95,7633093.84,82
4799.5,6725336.89,83
6944.41,7632493.84,84
7786.83,5660735.54,85
7216.3,5661235.54,86
5375.2,5668577.84,87
6706.34,6111298.23,88
5950.56,6576666.06,89
6216.94,5663235.54,90
6196.97,5659335.54,91
6555.65,5661884.79,92
7877.23,5663935.54,93
7689.32,5660135.54,94
7950.07,7637493.84,95
6153.29,7634693.84,96
6793.4,5660235.54,97
7059.92,5662235.54,98
6098.24,5658935.54,99
7119.64,6111347.48,100
7409.26,5660135.54,101
6670.64,7074579.64,102
7486.9,6109598.23,103
7815.1,5663835.54,104
7415.22,7073979.64,105
5614.35,5765221.68,106
6841.37,5765421.68,107
7664.28,5660635.54,108
7696.45,5660935.54,109
5361.47,5764421.68,110
7853.17,5662635.54,111
6027.5,5664135.54,112
5956.66,5659335.54,113
6327.43,5661335.54,114
6713.6,5663135.54,115
6102.19,5660335.54,116
7447.86,5661435.54,117
6840.92,5661335.54,118
6181.66,6108898.23,119
8109.32,5662535.54,120
5982.3,5660135.54,121
7703.19,7633693.84,122
7553.92,5661435.54,123
6013.43,8231454.05,124
8048.24,5661235.54,125
7199.26,5661735.54,126
7282.71,5664035.54,127
7595.81,5660684.79,128
5650.54,6109498.23,129
7900.61,5661635.54,130
5637.81,6302604.4,131
6047.32,6107898.23,132
6717.58,5662635.54,133
7233.41,7634193.84,134
6505.45,6533630.69,135
6079.79,5662384.79,136
7581.49,5766721.68,137
6972.39,5660835.54,138
6121.09,5660535.54,139
5365.47,5764821.68,140
6876.49,5767021.68,141
7853.25,5662535.54,142
6044.25,5765421.68,143
6480.96,5662235.54,144
7935.46,5661635.54,145
8061.28,5662435.54,146
7397.27,5764621.68,147
5688.61,5662635.54,148
6792.16,5662535.54,149
6313.43,5658735.54,150
7423.59,5660735.54,151
4853.2,5667616.56,152
6980.76,5660835.54,153
6971.09,5663535.54,154
8148.97,7635593.84,155
7617.56,7072379.64,156
6410.95,7637255.13,157
7257.26,5660935.54,158
7998.44,5661935.54,159
6573.29,5659635.54,160
6175.77,5661335.54,161
6882.34,5666316.56,162
7820.27,5766521.68,163
7547.19,5662484.79,164
5055.82,5661835.54,165
7345.34,5662535.54,166
8862.69,5662384.79,167
6739.77,5660535.54,168
9170.64,5663935.54,169
8813.93,5662135.54,170
7335.74,5661535.54,171
6659.66,6107298.23,172
5610.64,7069979.64,173
5670.26,5662635.54,174
6432.81,5660635.54,175
6915.47,5661235.54,176
4683.24,5809957.03,177
8381.66,5662935.54,178
8236.08,5662935.54,179
5889.2,5666216.56,180
6462.85,5663435.54,182
6037.03,5661135.54,183
5068.76,5666216.56,184
4949.04,5660835.54,185
5113.64,7068879.64,186
5488.51,5661235.54,187
6966.62,5660835.54,188
6916.55,5661935.54,189
5901.25,5764721.68,190
5960.35,5764021.68,191
6847.84,5659835.54,192
6429.78,5667816.56,193
7678.34,5662435.54,194
6756.2,5662935.54,195
5103.2,6108798.23,196
8443.6,5663335.54,197
5643.15,5659335.54,198
7220.81,6531630.69,199
5757.61,7635193.84,200
6265.38,5662335.54,201
6166.24,5659935.54,202
6459.04,5662584.79,203
8229.5,5660135.54,204
5875.88,5666416.56,205
6849.93,5764321.68,206
7932.62,5661835.54,207
7688.12,5669216.56,208
6656.91,6532430.69,209
7249.52,5659935.54,210
6922.03,5659535.54,211
6978.86,5662635.54,212
8075.44,5660235.54,213
7803.9,5668716.56,214
6006.23,5662135.54,215
7614.95,5661435.54,216
6303.25,6532430.69,217
7463.6,5661735.54,218
6366.03,5764921.68,219
5050.42,6108998.23,220
7033.81,5661835.54,221
6457.72,5661335.54,222
8059.01,5661835.54,223
6761.52,5661235.54,224
6337.12,5662035.54,225
5317.2,5671377.84,226
6502.79,5660035.54,227
6506.88,5666516.56,228
5585.98,5668216.56,229
7744.79,5663135.54,230
7054.6,5662335.54,231
5983.41,5659735.54,232
4905.18,5661335.54,233
7225.06,5660235.54,234
6090.37,5658935.54,235
5263.06,6152882.78,236
7487.48,5661835.54,237
6290.54,6112498.23,238
7387.63,7635693.84,239
6364.2,6110898.23,240
7312.89,5658735.54,241
5416.03,5663935.54,242
7741.0,7072679.64,243
8316.74,5660135.54,244
7301.17,5661535.54,245
8571.81,5662835.54,246
7257.66,5660135.54,247
8143.42,5660884.79,248
7547.73,7635243.1,249
7274.81,5663235.54,250
5543.87,6152233.53,251
6684.47,6533630.69,252
4646.61,5659435.54,253
7332.56,7072279.64,254
5523.1,5661935.54,255
7395.63,7634093.84,256
6025.06,7678029.18,257
5725.54,6109198.23,258
8285.23,5662984.79,259
8055.93,5662535.54,260
5855.88,6108998.23,261
5728.1,6107498.23,262
7379.28,5661335.54,263
6718.01,6533530.69,264
6066.96,5662835.54,265
7461.79,5660035.54,266
7604.63,7633993.84,267
6866.34,5668316.56,268
6096.1,6109698.23,269
5317.6,5662735.54,270
5884.76,6107198.23,271
6166.04,5658484.79,272
6027.74,5659635.54,273
5641.25,5662035.54,274
5727.03,5766821.68,275
6761.78,5662535.54,276
7993.86,5660935.54,277
6094.06,5660635.54,278
8502.94,5662235.54,279
7311.97,7633893.84,280
5911.86,5669716.56,281
6407.76,5669516.56,282
8755.3,5663235.54,283
7091.62,5662035.54,284
