Costs,Emissions,Folder
330213.73,6648472.95,2
192367.93,9637014.69,3
3006795.47,1086668395.39,4
3039037.8,1087648079.61,5
327537.17,5701755.52,6
3062603.57,1088130891.46,7
205175.63,6639285.49,8
2623684.64,1088126992.15,9
2824621.26,1087291927.32,10
487617.15,9630316.19,11
2926593.34,1088413177.68,12
2776853.03,1087620854.63,14
2561963.94,1088208017.38,15
109281.41,6631315.64,16
271636.93,7215020.17,17
631423.73,6380156.62,18
2672347.61,1088358215.21,19
2934820.86,1088697973.07,20
2912850.26,1088354422.97,21
362538.06,5544002.58,22
2937326.75,1087578711.02,23
2834086.48,1087704501.21,24
2870720.9,1088384967.45,25
2772773.06,1090789547.4,26
679134.15,4800281.37,27
2918317.21,1090195316.54,28
2914605.56,1089566202.65,29
2693482.55,1087610363.82,30
353617.28,6652414.15,31
2688234.0,1088375926.25,32
2830819.11,1088370156.4,33
182450.99,6621933.25,34
3192216.58,1086509596.76,35
138379.27,6639414.15,36
206827.51,6371911.35,37
201312.08,6621263.4,38
246543.32,6620903.1,39
213835.24,6617995.04,41
2694848.85,1087356551.2,42
375415.06,8503079.2,43
2844948.41,1088540037.72,44
480923.36,5919514.45,45
2716655.72,1088720612.77,46
2752676.84,1088367607.15,47
98804.61,7906320.4,48
2849759.83,1088361964.46,49
3162209.4,1086409196.04,50
2703642.53,1088370046.85,51
3052825.75,1086932239.43,53
2929978.48,1088196476.89,55
2934042.76,1086637368.74,56
262830.54,7932969.65,57
263744.04,6624485.49,58
2622980.9,1088967485.05,59
248153.25,5443421.62,60
2922260.56,1088327978.42,61
233090.31,5506738.9,62
3040268.01,1089806505.74,63
2867558.68,1088386554.91,64
3217949.2,1086861059.59,65
349341.49,6632995.04,66
2643243.89,1088355677.0,67
3157448.14,1086837325.69,68
198189.08,6612515.64,69
2753528.16,1088966085.05,70
20274.14,6636014.15,71
450684.3,7898552.04,72
2783733.96,1090198081.99,73
2818548.18,1087594650.15,74
2919332.0,1088379664.46,75
782407.37,5723327.67,76
371653.67,5126334.21,77
2538849.12,1088373337.3,78
2821659.82,1087371036.29,79
454003.73,7912920.4,80
