date,EFH_electricity_bus_shortage_output1,EFH_gas_bus_shortage_output1,EFH_pv_bus_excess_input1,EFH_hp_electricity_bus_shortage_output1,EFH_electricity_sink_input1,EFH_heat_sink_input1,EFH_pv_to_EFH_electricity_link_input1,EFH_pv_to_EFH_electricity_link_output1,EFH_electricity_to_EFH_hp_electricity_bus_input1,EFH_electricity_to_EFH_hp_electricity_bus_output1,EFH_gasheating_transformer_input1,EFH_gasheating_transformer_output1,EFH_GCHP_transformer_input1,EFH_GCHP_transformer_input2,EFH_GCHP_transformer_output1,EFH_photovoltaic_electricity_source_output1
2011-12-02 00:00:00,0.37519230085001637,0.0,0.0,0.011976395312740846,0.37519230085001637,0.0517054354009453,0.0,0.0,0.0,0.0,0.0,0.0,0.011976395312740846,0.03972904008820445,0.0517054354009453,0.0
2011-12-02 01:00:00,0.27936925700767,0.0,0.0,0.013881730930676892,0.27936925700767,0.059931300123822966,0.0,0.0,0.0,0.0,0.0,0.0,0.013881730930676892,0.046049569193146074,0.059931300123822966,0.0
2011-12-02 02:00:00,0.25359229784540144,0.0,0.0,0.011704204510178555,0.25359229784540144,0.050530311869105636,0.0,0.0,0.0,0.0,0.0,0.0,0.011704204510178555,0.03882610735892708,0.050530311869105636,0.0
2011-12-02 03:00:00,0.2387170565897049,0.0,0.0,0.021775264204983356,0.2387170565897049,0.09400988254717327,0.0,0.0,0.0,0.0,0.0,0.0,0.021775264204983356,0.07223461834218992,0.09400988254717327,0.0
2011-12-02 04:00:00,0.24849803714139576,0.0,0.0,0.051988443289397765,0.24849803714139576,0.22444859458137617,0.0,0.0,0.0,0.0,0.0,0.0,0.051988443289397765,0.17246015129197842,0.22444859458137617,0.0
2011-12-02 05:00:00,0.301885889319375,0.0,0.0,0.16413105394506206,0.301885889319375,0.7085994896993185,0.0,0.0,0.0,0.0,0.0,0.0,0.16413105394506206,0.5444684357542565,0.7085994896993185,0.0
2011-12-02 06:00:00,0.49872812292215346,0.0,0.0,0.2585812624341774,0.49872812292215346,1.1163673552476827,0.0,0.0,0.0,0.0,0.0,0.0,0.2585812624341774,0.8577860928135054,1.1163673552476827,0.0
2011-12-02 07:00:00,0.6607765559165734,0.0,0.0,0.21856921445752045,0.6607765559165734,0.9436241960672517,0.0,0.0,0.0,0.0,0.0,0.0,0.21856921445752045,0.7250549816097313,0.9436241960672517,0.0
2011-12-02 08:00:00,0.0,0.0,1.9615049392264443,0.0,0.7215510861153607,0.7203507250177151,0.8884040480860457,0.8884040480860457,0.16685296197068497,0.16685296197068497,0.0,0.0,0.16685296197068497,0.5534977630470302,0.7203507250177151,2.84990898731249
2011-12-02 09:00:00,0.0,0.0,2.6974184069217295,0.0,0.7339301396260944,0.6874472661262045,0.8931617591250353,0.8931617591250353,0.1592316194989408,0.1592316194989408,0.0,0.0,0.1592316194989408,0.5282156466272637,0.6874472661262045,3.590580166046765
2011-12-02 10:00:00,0.0,0.0,3.082146691096439,0.0,0.7093248604257472,0.6192901012795039,0.852769413376075,0.852769413376075,0.14344455295032785,0.14344455295032785,0.0,0.0,0.14344455295032785,0.4758455483291761,0.6192901012795039,3.934916104472514
2011-12-02 11:00:00,0.0,0.0,3.2407774381112997,0.0,0.7231812495406426,0.6404423248526179,0.8715252369370916,0.8715252369370916,0.1483439873964491,0.1483439873964491,0.0,0.0,0.1483439873964491,0.49209833745616877,0.6404423248526179,4.112302675048391
2011-12-02 12:00:00,0.0,0.0,3.089119040381073,0.0,0.8040271669132122,0.6145896071521452,0.9463829566532909,0.9463829566532909,0.14235578974007868,0.14235578974007868,0.0,0.0,0.14235578974007868,0.4722338174120665,0.6145896071521452,4.0355019970343635
2011-12-02 13:00:00,0.0,0.0,2.8478720729435567,0.0,0.7778426668946231,0.4912016363089802,0.8916184223656611,0.8916184223656611,0.11377575547103802,0.11377575547103802,0.0,0.0,0.11377575547103802,0.3774258808379422,0.4912016363089802,3.7394904953092176
2011-12-02 14:00:00,0.0,0.0,1.273326200212634,0.0,0.6712707329668249,0.4723996597995456,0.7806914355968663,0.7806914355968663,0.10942070263004136,0.10942070263004136,0.0,0.0,0.10942070263004136,0.3629789571695043,0.4723996597995456,2.0540176358095
2011-12-02 15:00:00,0.6051472290288314,0.0,0.0,0.09771649811986281,0.6051472290288314,0.42186934793044006,0.0,0.0,0.0,0.0,0.0,0.0,0.09771649811986281,0.32415284981057724,0.42186934793044006,0.0
2011-12-02 16:00:00,0.584770186212809,0.0,0.0,0.1145923278787249,0.584770186212809,0.4947270069044993,0.0,0.0,0.0,0.0,0.0,0.0,0.1145923278787249,0.3801346790257744,0.4947270069044993,0.0
2011-12-02 17:00:00,0.6239959936336524,0.0,0.0,0.136095401281146,0.6239959936336524,0.587561765919833,0.0,0.0,0.0,0.0,0.0,0.0,0.136095401281146,0.451466364638687,0.587561765919833,0.0
2011-12-02 18:00:00,0.7242510442884836,0.0,0.0,0.1320125392427116,0.7242510442884836,0.569934912942238,0.0,0.0,0.0,0.0,0.0,0.0,0.1320125392427116,0.43792237369952636,0.569934912942238,0.0
2011-12-02 19:00:00,0.8414190404806138,0.0,0.0,0.1388173093067689,0.8414190404806138,0.5993130012382295,0.0,0.0,0.0,0.0,0.0,0.0,0.1388173093067689,0.4604956919314606,0.5993130012382295,0.0
2011-12-02 20:00:00,0.8486019480732617,0.0,0.0,0.14344455295032785,0.8486019480732617,0.6192901012795039,0.0,0.0,0.0,0.0,0.0,0.0,0.14344455295032785,0.4758455483291761,0.6192901012795039,0.0
