date,EFH_electricity_bus_shortage_output1,EFH_hp_electricity_bus_shortage_output1,EFH_electricity_sink_input1,EFH_heat_sink_input1,EFH_pv_to_EFH_electricity_link_input1,EFH_pv_to_EFH_electricity_link_output1,EFH_electricity_to_EFH_hp_electricity_bus_input1,EFH_electricity_to_EFH_hp_electricity_bus_output1,EFH_GCHP_transformer_input1,EFH_GCHP_transformer_input2,EFH_GCHP_transformer_output1,EFH_photovoltaic_electricity_source_output1
2012-01-01 00:00:00,0.29704634165056965,0.38381674175158786,0.29704634165056965,1.6570438122834747,0.0,0.0,0.0,0.0,0.38381674175158786,1.2732270705318869,1.6570438122834747,0.0
2012-01-01 01:00:00,0.21981734937784392,0.4074362335516856,0.21981734937784392,1.7590157391932273,0.0,0.0,0.0,0.0,0.4074362335516856,1.3515795056415416,1.7590157391932273,0.0
2012-01-01 02:00:00,0.20147801084342357,0.4251508524017589,0.20147801084342357,1.8354946843755415,0.0,0.0,0.0,0.0,0.4251508524017589,1.4103438319737827,1.8354946843755415,0.0
2012-01-01 03:00:00,0.6843161435799439,0.0,0.1961799797112577,2.1074198228015475,0.0,0.0,0.48813616386868613,0.48813616386868613,0.48813616386868613,1.6192836589328614,2.1074198228015475,0.0
2012-01-01 04:00:00,0.8449378638837455,0.0,0.1993384213477412,2.787232668866563,0.0,0.0,0.6455994425360042,0.6455994425360042,0.6455994425360042,2.141633226330559,2.787232668866563,0.0
2012-01-01 05:00:00,1.193236298296241,0.0,0.2386151713756248,4.1213653792691565,0.0,0.0,0.9546211269206163,0.9546211269206163,0.9546211269206163,3.1667442523485403,4.1213653792691565,0.0
2012-01-01 06:00:00,0.4589419468238693,1.2203404096717154,0.4589419468238693,5.268549557003869,0.0,0.0,0.0,0.0,1.2203404096717154,4.0482091473321535,5.268549557003869,0.0
2012-01-01 07:00:00,0.6593501629194517,1.1376721883713734,0.6593501629194517,4.911647812819736,0.0,0.0,0.0,0.0,1.1376721883713734,3.773975624448363,4.911647812819736,0.0
2012-01-01 08:00:00,1.7173731522057127,0.0,0.6800838039847547,4.478267123453288,0.0,0.0,1.037289348220958,1.037289348220958,1.037289348220958,3.4409777752323305,4.478267123453288,0.0
2012-01-01 09:00:00,1.584304221851534,0.0,0.6277148039475765,4.129863039844968,0.0,0.0,0.9565894179039574,0.9565894179039574,0.9565894179039574,3.1732736219410103,4.129863039844968,0.0
2012-01-01 10:00:00,0.589714906148322,0.887699233487006,0.592004036412497,3.8324449196915245,0.0022891302641749587,0.0022891302641749587,0.0,0.0,0.887699233487006,2.9447456862045187,3.8324449196915245,0.0022891302641749587
2012-01-01 11:00:00,0.6027529264979489,0.8463651228368347,0.6027529264979489,3.6539940475994572,0.0,0.0,0.0,0.0,0.8463651228368347,2.8076289247626227,3.6539940475994572,0.0
2012-01-01 12:00:00,1.500426193557365,0.0,0.665870816620579,3.6030080841445815,0.0,0.0,0.834555376936786,0.834555376936786,0.834555376936786,2.768452707207796,3.6030080841445815,0.0
2012-01-01 13:00:00,0.6597067611687322,0.830618794970103,0.6597067611687322,3.586012762992956,0.0,0.0,0.0,0.0,0.830618794970103,2.755393968022853,3.586012762992956,0.0
2012-01-01 14:00:00,0.5876229722070521,0.8542382867702007,0.5876229722070521,3.6879846899027084,0.0,0.0,0.0,0.0,0.8542382867702007,2.833746403132508,3.6879846899027084,0.0
2012-01-01 15:00:00,1.4256162224475615,0.0,0.5339804069938726,3.8494402408431494,0.0,0.0,0.8916358154536888,0.8916358154536888,0.8916358154536888,2.957804425389461,3.8494402408431494,0.0
2012-01-01 16:00:00,0.5359671686684347,0.9428113810205673,0.5359671686684347,4.07037941581428,0.0,0.0,0.0,0.0,0.9428113810205673,3.127568034793713,4.07037941581428,0.0
2012-01-01 17:00:00,0.6554785247844075,1.0038284015041528,0.6554785247844075,4.333806893664472,0.0,0.0,0.0,0.0,1.0038284015041528,3.3299784921603197,4.333806893664472,0.0
2012-01-01 18:00:00,0.8466151863986995,1.029416184287592,0.8466151863986995,4.4442764811500375,0.0,0.0,0.0,0.0,1.029416184287592,3.4148602968624457,4.4442764811500375,0.0
2012-01-01 19:00:00,0.9530342925053776,1.037289348220958,0.9530342925053776,4.478267123453288,0.0,0.0,0.0,0.0,1.037289348220958,3.4409777752323305,4.478267123453288,0.0
2012-01-01 20:00:00,0.8570584208419111,0.9900503646207627,0.8570584208419111,4.2743232696337845,0.0,0.0,0.0,0.0,0.9900503646207627,3.284272905013022,4.2743232696337845,0.0
2012-01-01 21:00:00,1.5802493821472434,0.0,0.7181379314436769,3.721975332205959,0.0,0.0,0.8621114507035667,0.8621114507035667,0.8621114507035667,2.8598638815023927,3.721975332205959,0.0
2012-01-01 22:00:00,1.182866400355441,0.0,0.5943473963363395,2.5408005121679946,0.0,0.0,0.5885190040191014,0.5885190040191014,0.5885190040191014,1.9522815081488933,2.5408005121679946,0.0
2012-01-01 23:00:00,0.44009318221904836,0.4290874343684419,0.44009318221904836,1.852490005527167,0.0,0.0,0.0,0.0,0.4290874343684419,1.423402571158725,1.852490005527167,0.0
