Processing Time,Memory Usage
0 days 00:00:00.597555,342.21484375
0 days 00:00:00.736031,347.06640625
0 days 00:00:00.619096,346.28515625
0 days 00:00:00.552284,347.4609375
0 days 00:00:00.642662,348.203125
0 days 00:00:00.494622,349.125
0 days 00:00:00.621586,350.171875
0 days 00:00:00.506842,346.9453125
0 days 00:00:00.523009,350.16796875
0 days 00:00:00.607728,351.0859375
0 days 00:00:00.500735,346.71484375
0 days 00:00:00.513838,349.6015625
0 days 00:00:00.611734,344.19921875
0 days 00:00:00.515273,347.44140625
0 days 00:00:00.508879,350.46484375
0 days 00:00:00.509941,351.7265625
0 days 00:00:00.511437,351.6015625
0 days 00:00:00.502323,350.15625
0 days 00:00:00.497282,351.1953125
0 days 00:00:00.518758,351.1640625
0 days 00:00:00.512283,349.9921875
0 days 00:00:00.611135,350.734375
0 days 00:00:00.499648,352.6953125
0 days 00:00:00.519314,351.34765625
0 days 00:00:00.510081,345.66015625
0 days 00:00:00.631882,351.84375
0 days 00:00:00.511513,345.796875
0 days 00:00:00.498118,347.24609375
0 days 00:00:00.618570,352.40234375
0 days 00:00:00.489105,351.328125
0 days 00:00:00.500296,352.0078125
0 days 00:00:00.622409,353.26171875
0 days 00:00:00.528321,348.3515625
0 days 00:00:00.530284,352.6796875
0 days 00:00:00.521010,353.37109375
0 days 00:00:00.536620,346.3359375
0 days 00:00:00.523155,352.609375
0 days 00:00:00.526597,350.69921875
0 days 00:00:00.512934,351.18359375
0 days 00:00:00.525907,351.69921875
0 days 00:00:00.554776,352.45703125
0 days 00:00:00.634713,352.7421875
0 days 00:00:00.535356,353.109375
0 days 00:00:00.524979,352.37109375
0 days 00:00:00.523390,352.51171875
0 days 00:00:00.567589,351.7578125
0 days 00:00:00.538588,347.5
0 days 00:00:00.659110,353.23828125
0 days 00:00:00.574572,353.65625
0 days 00:00:00.548801,348.6484375
0 days 00:00:00.547021,353.54296875
0 days 00:00:00.535877,351.9765625
0 days 00:00:00.607503,348.61328125
0 days 00:00:00.572118,352.65234375
0 days 00:00:00.579788,349.2421875
0 days 00:00:00.563190,354.5390625
0 days 00:00:00.571143,353.765625
0 days 00:00:00.628946,352.484375
0 days 00:00:00.566094,352.77734375
0 days 00:00:00.584934,348.1015625
0 days 00:00:00.709476,352.19140625
0 days 00:00:00.601330,348.1640625
0 days 00:00:00.596256,350.71484375
0 days 00:00:00.767063,351.7734375
0 days 00:00:00.673920,351.77734375
0 days 00:00:00.608706,352.34765625
0 days 00:00:00.606372,352.9453125
0 days 00:00:00.653256,351.84375
0 days 00:00:00.661939,353.0078125
0 days 00:00:00.733272,353.16015625
0 days 00:00:00.618798,348.36328125
0 days 00:00:00.813235,352.109375
0 days 00:00:00.732730,353.328125
0 days 00:00:00.710175,347.1640625
0 days 00:00:00.852458,352.48828125
0 days 00:00:00.737142,347.59375
0 days 00:00:00.653070,353.390625
0 days 00:00:00.793304,352.69921875
0 days 00:00:00.704188,348.59765625
0 days 00:00:00.635087,353.1875
0 days 00:00:00.791542,346.76171875
0 days 00:00:00.595103,348.66796875
0 days 00:00:00.658052,351.84765625
0 days 00:00:00.769771,353.2734375
0 days 00:00:00.633303,352.71484375
0 days 00:00:00.670440,347.56640625
0 days 00:00:00.803566,353.5546875
0 days 00:00:00.643138,349.29296875
0 days 00:00:00.638711,354.6328125
0 days 00:00:00.835108,353.23828125
0 days 00:00:00.642673,349.2578125
0 days 00:00:00.610311,353.5234375
0 days 00:00:00.738952,354.296875
0 days 00:00:00.617848,348.75
0 days 00:00:00.675613,354.48828125
0 days 00:00:00.697859,352.74609375
0 days 00:00:00.699562,352.4765625
0 days 00:00:00.819606,352.44140625
0 days 00:00:00.637759,352.18359375
0 days 00:00:00.634865,347.56640625
0 days 00:00:00.801950,352.4375
0 days 00:00:00.616198,349.34765625
0 days 00:00:00.638268,353.2421875
0 days 00:00:00.739218,353.1796875
0 days 00:00:00.662788,348.8046875
0 days 00:00:00.680716,354.16796875
0 days 00:00:00.824539,353.96484375
0 days 00:00:00.753050,348.8828125
0 days 00:00:00.746266,353.828125
0 days 00:00:00.724864,352.546875
0 days 00:00:00.969640,354.64453125
0 days 00:00:00.881715,354.359375
0 days 00:00:00.676561,354.38671875
0 days 00:00:00.646278,348.015625
0 days 00:00:00.774494,354.63671875
0 days 00:00:00.712514,349.40625
0 days 00:00:00.734793,353.36328125
0 days 00:00:00.849456,354.87109375
0 days 00:00:00.694960,349.703125
0 days 00:00:00.738666,354.67578125
0 days 00:00:00.867739,353.8515625
0 days 00:00:00.698506,349.47265625
0 days 00:00:00.714778,354.21875
0 days 00:00:00.840868,352.609375
0 days 00:00:00.671978,350.0234375
0 days 00:00:00.668297,353.8828125
0 days 00:00:00.900147,354.44921875
0 days 00:00:00.739977,349.26953125
0 days 00:00:00.780270,353.30859375
0 days 00:00:00.861270,354.06640625
0 days 00:00:00.705950,349.41796875
0 days 00:00:00.723805,354.28125
0 days 00:00:00.906226,355.046875
0 days 00:00:00.734473,349.78125
0 days 00:00:00.653410,354.4296875
0 days 00:00:00.781347,353.87890625
0 days 00:00:00.715935,349.76953125
0 days 00:00:00.701992,354.28125
0 days 00:00:00.918325,353.8984375
0 days 00:00:00.840187,349.67578125
0 days 00:00:00.829256,354.4140625
0 days 00:00:00.896167,354.3984375
0 days 00:00:00.881585,349.87890625
0 days 00:00:00.770822,354.9609375
0 days 00:00:00.902375,353.44140625
0 days 00:00:00.806654,349.46484375
0 days 00:00:00.786666,353.5859375
0 days 00:00:00.903278,354.97265625
0 days 00:00:00.732535,349.5625
0 days 00:00:00.708060,353.87109375
0 days 00:00:00.622031,354.28125
0 days 00:00:00.708902,349.59765625
0 days 00:00:00.757961,354.28515625
0 days 00:00:00.900346,353.9375
0 days 00:00:00.752109,354.24609375
0 days 00:00:00.828686,348.421875
0 days 00:00:00.914422,354.13671875
0 days 00:00:00.792158,349.66015625
0 days 00:00:00.780842,354.140625
0 days 00:00:00.787492,354.421875
0 days 00:00:00.775279,348.05078125
0 days 00:00:00.787738,354.6875
0 days 00:00:00.759365,354.1953125
0 days 00:00:00.722192,353.80078125
0 days 00:00:00.900742,354.078125
0 days 00:00:00.809530,353.546875
0 days 00:00:00.794130,350.00390625
0 days 00:00:00.756458,353.26953125
0 days 00:00:00.950488,353.7578125
0 days 00:00:00.756265,353.99609375
0 days 00:00:00.791406,348.515625
0 days 00:00:00.908441,353.96875
0 days 00:00:00.861700,349.51171875
0 days 00:00:00.802548,354.1796875
0 days 00:00:00.903747,355.11328125
0 days 00:00:00.799509,355.30078125
0 days 00:00:00.788397,348.484375
0 days 00:00:00.765652,353.98828125
0 days 00:00:00.721863,350.3828125
0 days 00:00:00.880693,354.26171875
0 days 00:00:00.769923,349.6171875
0 days 00:00:00.755597,353.921875
0 days 00:00:00.749492,353.7421875
0 days 00:00:00.834773,354.38671875
0 days 00:00:00.921017,355.26171875
0 days 00:00:00.797398,350.375
0 days 00:00:00.781342,354.953125
0 days 00:00:00.796683,353.8828125
0 days 00:00:00.892336,354.21875
0 days 00:00:00.774971,354.50390625
0 days 00:00:00.798884,355.4140625
0 days 00:00:00.792331,354.50390625
0 days 00:00:00.778028,353.65234375
0 days 00:00:00.724712,354.85546875
0 days 00:00:00.763401,354.1015625
0 days 00:00:00.780667,350.54296875
0 days 00:00:00.913291,354.078125
0 days 00:00:00.742278,350.21875
0 days 00:00:00.926255,353.953125
0 days 00:00:00.821033,350.390625
0 days 00:00:00.835065,354.6328125
0 days 00:00:00.861158,353.8125
0 days 00:00:00.782648,354.01953125
0 days 00:00:00.904217,354.546875
0 days 00:00:00.799929,349.32421875
0 days 00:00:00.797011,355.31640625
0 days 00:00:00.771923,354.4140625
0 days 00:00:00.774754,354.0703125
0 days 00:00:00.780431,354.3828125
0 days 00:00:00.798679,354.63671875
0 days 00:00:00.778786,354.484375
0 days 00:00:00.782582,355.05078125
0 days 00:00:00.783283,353.73828125
0 days 00:00:00.769695,353.79296875
0 days 00:00:00.789428,348.2578125
0 days 00:00:00.940642,354.234375
0 days 00:00:00.795953,349.33203125
0 days 00:00:00.753836,354.9296875
0 days 00:00:00.784946,354.890625
0 days 00:00:00.819781,349.5859375
0 days 00:00:00.775435,355.078125
0 days 00:00:00.800297,355.53515625
0 days 00:00:00.793163,355.21484375
0 days 00:00:00.824287,354.6015625
0 days 00:00:00.789889,354.5390625
0 days 00:00:00.896598,354.2734375
0 days 00:00:00.784761,354.109375
0 days 00:00:00.811110,347.69140625
0 days 00:00:00.791404,354.25390625
0 days 00:00:00.781717,354.4140625
0 days 00:00:00.725691,350.00390625
0 days 00:00:00.769101,354.49609375
0 days 00:00:00.865589,349.640625
0 days 00:00:00.958638,354.65234375
0 days 00:00:00.785300,349.6484375
0 days 00:00:00.805060,353.6875
0 days 00:00:00.784563,353.9921875
0 days 00:00:00.806297,354.51171875
0 days 00:00:00.805679,354.7109375
0 days 00:00:00.780303,353.9453125
0 days 00:00:00.814173,354.59375
0 days 00:00:00.940730,355.12890625
0 days 00:00:00.790415,355.0703125
0 days 00:00:00.820196,354.5078125
0 days 00:00:00.784609,354.859375
0 days 00:00:00.788848,349.875
0 days 00:00:00.912847,355.09375
0 days 00:00:00.789238,349.71875
0 days 00:00:00.783945,355.34375
0 days 00:00:00.843349,354.53515625
0 days 00:00:00.750295,354.265625
0 days 00:00:00.901543,354.3203125
0 days 00:00:00.814280,353.71484375
0 days 00:00:00.896113,348.734375
0 days 00:00:00.927145,354.52734375
0 days 00:00:00.786020,350.64453125
0 days 00:00:00.782020,355.22265625
0 days 00:00:00.910109,354.18359375
0 days 00:00:00.834105,349.85546875
0 days 00:00:00.802083,354.7734375
0 days 00:00:00.948276,355.453125
0 days 00:00:00.884223,350.26953125
0 days 00:00:00.772830,355.24609375
0 days 00:00:00.973969,354.078125
0 days 00:00:00.801565,349.94921875
0 days 00:00:00.892634,354.640625
0 days 00:00:00.914774,354.40234375
0 days 00:00:00.742428,350.15625
0 days 00:00:00.778965,354.296875
0 days 00:00:00.913256,355.46875
0 days 00:00:00.765802,354.41015625
0 days 00:00:00.742740,349.2265625
0 days 00:00:00.748153,355.48828125
0 days 00:00:00.791335,350.0703125
0 days 00:00:00.814393,354.88671875
0 days 00:00:00.808925,350.671875
0 days 00:00:00.788664,355.0
0 days 00:00:00.930326,355.859375
0 days 00:00:00.794574,354.72265625
0 days 00:00:00.806455,348.9375
0 days 00:00:00.953251,355.43359375
0 days 00:00:00.794953,350.0234375
0 days 00:00:00.797742,356.41796875
0 days 00:00:00.918862,355.70703125
0 days 00:00:00.830838,350.3828125
0 days 00:00:00.796032,355.1171875
0 days 00:00:00.783973,355.14453125
0 days 00:00:00.769714,354.5625
0 days 00:00:00.778108,354.52734375
0 days 00:00:00.790553,354.7734375
0 days 00:00:00.813322,355.43359375
0 days 00:00:00.808207,354.89453125
0 days 00:00:00.803983,355.484375
0 days 00:00:00.912444,354.08984375
0 days 00:00:00.794950,355.82421875
0 days 00:00:00.765206,355.10546875
0 days 00:00:00.801864,355.10546875
0 days 00:00:00.792849,355.94140625
0 days 00:00:00.778396,355.2421875
0 days 00:00:00.914477,353.70703125
0 days 00:00:00.814052,349.8203125
0 days 00:00:00.812460,354.8515625
0 days 00:00:00.800555,355.640625
0 days 00:00:00.806347,354.08203125
0 days 00:00:00.774930,355.20703125
0 days 00:00:00.815826,354.08984375
0 days 00:00:00.780187,353.171875
0 days 00:00:00.804344,354.6953125
0 days 00:00:00.783618,355.44921875
