Processing Time,Memory Usage
0 days 00:00:00.424964,343.98828125
0 days 00:00:00.314552,347.95703125
0 days 00:00:00.451327,348.3515625
0 days 00:00:00.643269,350.36328125
0 days 00:00:00.443552,353.6875
0 days 00:00:00.425746,354.53515625
0 days 00:00:00.461685,354.4453125
0 days 00:00:00.633089,354.98828125
0 days 00:00:00.923065,355.4921875
0 days 00:00:00.476246,355.5078125
0 days 00:00:00.615734,355.56640625
0 days 00:00:00.470641,355.6171875
0 days 00:00:00.450896,355.0546875
0 days 00:00:00.616192,355.26953125
0 days 00:00:00.475309,355.84375
0 days 00:00:00.515117,355.6640625
0 days 00:00:00.616211,355.90234375
0 days 00:00:00.465681,355.515625
0 days 00:00:00.490256,356.42578125
0 days 00:00:00.629194,356.9375
0 days 00:00:00.495271,355.69140625
0 days 00:00:00.525469,356.515625
0 days 00:00:00.665266,355.44921875
0 days 00:00:00.494310,357.0234375
0 days 00:00:00.483543,349.9609375
0 days 00:00:00.644364,357.05078125
0 days 00:00:00.470253,356.3046875
0 days 00:00:00.473998,356.484375
0 days 00:00:00.624547,354.640625
0 days 00:00:00.471503,356.01171875
0 days 00:00:00.535654,355.86328125
0 days 00:00:00.630060,355.0625
0 days 00:00:00.495997,355.95703125
0 days 00:00:00.463894,357.28125
0 days 00:00:00.608010,357.0625
0 days 00:00:00.469129,356.9375
0 days 00:00:00.475902,356.75
0 days 00:00:00.618017,357.44140625
0 days 00:00:00.494993,356.203125
0 days 00:00:00.470804,355.98046875
0 days 00:00:00.647575,356.484375
0 days 00:00:00.483893,356.1484375
0 days 00:00:00.565806,357.46875
0 days 00:00:00.722664,357.97265625
0 days 00:00:00.610026,355.64453125
0 days 00:00:00.594297,356.45703125
0 days 00:00:00.786806,355.78515625
0 days 00:00:00.634316,356.48828125
0 days 00:00:00.583005,356.87890625
0 days 00:00:00.793545,356.0078125
0 days 00:00:00.695216,355.5
0 days 00:00:00.497968,355.84375
0 days 00:00:00.741745,356.2421875
0 days 00:00:00.557126,356.19921875
0 days 00:00:00.554151,355.7109375
0 days 00:00:00.751154,355.9609375
0 days 00:00:00.551826,355.39453125
0 days 00:00:00.508726,356.06640625
0 days 00:00:00.659684,356.15234375
0 days 00:00:00.552140,355.79296875
0 days 00:00:00.490137,355.95703125
0 days 00:00:00.653893,356.10546875
0 days 00:00:00.497447,355.85546875
0 days 00:00:00.491991,356.8046875
0 days 00:00:00.683062,356.3046875
0 days 00:00:00.553577,357.19140625
0 days 00:00:00.495104,356.58984375
0 days 00:00:00.634908,357.015625
0 days 00:00:00.487455,356.57421875
0 days 00:00:00.499690,357.35546875
0 days 00:00:00.630303,357.2578125
0 days 00:00:00.536471,357.23828125
0 days 00:00:00.476221,357.09375
0 days 00:00:00.665931,356.265625
0 days 00:00:00.496397,356.7421875
0 days 00:00:00.496052,356.60546875
0 days 00:00:00.652433,356.84765625
0 days 00:00:00.487330,356.890625
0 days 00:00:00.489578,357.25390625
0 days 00:00:00.635835,356.84375
0 days 00:00:00.506881,356.1171875
0 days 00:00:00.568044,356.3046875
0 days 00:00:00.647968,356.1953125
0 days 00:00:00.493267,356.44921875
0 days 00:00:00.496064,357.34765625
0 days 00:00:00.650167,357.44921875
0 days 00:00:00.506793,357.046875
0 days 00:00:00.499974,356.2421875
0 days 00:00:00.648618,356.42578125
0 days 00:00:00.504931,357.08203125
0 days 00:00:00.473139,357.32421875
0 days 00:00:00.655199,357.41796875
0 days 00:00:00.463004,356.97265625
0 days 00:00:00.460142,357.359375
0 days 00:00:00.635163,357.6484375
0 days 00:00:00.469288,357.765625
0 days 00:00:00.475037,357.30859375
0 days 00:00:00.653144,356.47265625
0 days 00:00:00.500021,357.328125
0 days 00:00:00.498777,357.34765625
0 days 00:00:00.635281,356.9140625
0 days 00:00:00.499297,358.39453125
0 days 00:00:00.519530,357.72265625
0 days 00:00:00.653676,357.578125
0 days 00:00:00.511773,357.671875
0 days 00:00:00.502474,357.0703125
0 days 00:00:00.649545,355.9609375
0 days 00:00:00.527269,357.90625
0 days 00:00:00.495286,357.7734375
0 days 00:00:00.817527,358.12890625
0 days 00:00:00.626957,357.421875
0 days 00:00:00.500501,358.66015625
0 days 00:00:00.628885,357.328125
0 days 00:00:00.484088,356.953125
0 days 00:00:00.563933,357.8671875
0 days 00:00:00.705151,357.66015625
0 days 00:00:00.535331,357.75390625
0 days 00:00:00.484727,357.5625
0 days 00:00:00.637134,356.375
0 days 00:00:00.513712,358.171875
0 days 00:00:00.488903,357.62890625
0 days 00:00:00.642743,358.26953125
0 days 00:00:00.489390,357.73828125
0 days 00:00:00.488343,358.02734375
0 days 00:00:00.661200,356.9296875
0 days 00:00:00.501914,357.67578125
0 days 00:00:00.487459,358.16015625
0 days 00:00:00.653274,356.8125
0 days 00:00:00.483287,358.25390625
0 days 00:00:00.474336,357.265625
0 days 00:00:00.665508,357.7109375
0 days 00:00:00.493126,356.96875
0 days 00:00:00.503362,358.578125
0 days 00:00:00.662228,358.02734375
0 days 00:00:00.502966,357.796875
0 days 00:00:00.504700,358.33984375
0 days 00:00:00.648201,357.26953125
0 days 00:00:00.493357,357.29296875
0 days 00:00:00.492169,357.94921875
0 days 00:00:00.648890,357.4453125
0 days 00:00:00.500142,357.546875
0 days 00:00:00.502301,357.3359375
0 days 00:00:00.649694,357.234375
0 days 00:00:00.500575,357.91015625
0 days 00:00:00.484210,357.296875
0 days 00:00:00.687525,358.05078125
0 days 00:00:00.506580,357.94140625
0 days 00:00:00.489757,357.3515625
0 days 00:00:00.648347,357.65625
0 days 00:00:00.476224,357.04296875
0 days 00:00:00.468263,356.55078125
0 days 00:00:00.621802,357.01171875
0 days 00:00:00.519964,357.37890625
0 days 00:00:00.491931,358.03125
0 days 00:00:00.646041,357.0078125
0 days 00:00:00.504231,357.47265625
0 days 00:00:00.492840,357.20703125
0 days 00:00:00.650361,356.38671875
0 days 00:00:00.503166,357.140625
0 days 00:00:00.502472,357.31640625
0 days 00:00:00.681836,357.20703125
0 days 00:00:00.506261,358.078125
0 days 00:00:00.468127,357.14453125
0 days 00:00:00.640117,357.390625
0 days 00:00:00.480911,356.23046875
0 days 00:00:00.483118,357.71875
0 days 00:00:00.648759,357.59375
0 days 00:00:00.487536,357.5546875
0 days 00:00:00.481915,357.30859375
0 days 00:00:00.658137,357.44921875
0 days 00:00:00.489773,357.609375
0 days 00:00:00.492251,357.55859375
0 days 00:00:00.630400,356.9453125
0 days 00:00:00.490876,357.5625
0 days 00:00:00.509451,356.03515625
0 days 00:00:00.466070,357.42578125
0 days 00:00:00.641997,358.58203125
0 days 00:00:00.493781,357.80078125
0 days 00:00:00.491648,357.859375
0 days 00:00:00.480110,357.94921875
0 days 00:00:00.645980,358.34765625
0 days 00:00:00.497240,357.3671875
0 days 00:00:00.469147,357.609375
0 days 00:00:00.649432,358.11328125
0 days 00:00:00.517994,358.1015625
0 days 00:00:00.492447,358.203125
0 days 00:00:00.632358,357.35546875
0 days 00:00:00.490531,357.3984375
0 days 00:00:00.495937,351.24609375
0 days 00:00:00.756351,358.25
0 days 00:00:00.497839,358.58203125
0 days 00:00:00.489344,357.25
0 days 00:00:00.646215,356.3828125
0 days 00:00:00.492799,356.9296875
0 days 00:00:00.493006,356.76171875
0 days 00:00:00.643267,357.44921875
0 days 00:00:00.492339,357.39453125
0 days 00:00:00.479057,357.55078125
0 days 00:00:00.656236,357.26953125
0 days 00:00:00.559322,357.6796875
0 days 00:00:00.462078,351.14453125
0 days 00:00:00.641495,357.66015625
0 days 00:00:00.505655,358.02734375
0 days 00:00:00.465464,358.36328125
0 days 00:00:00.675813,357.19140625
0 days 00:00:00.481310,357.47265625
0 days 00:00:00.497452,358.0859375
0 days 00:00:00.733862,356.89453125
0 days 00:00:00.500304,356.6328125
0 days 00:00:00.491351,358.51953125
0 days 00:00:00.649095,358.1875
0 days 00:00:00.501790,357.92578125
0 days 00:00:00.447708,357.8984375
0 days 00:00:00.651266,358.37109375
0 days 00:00:00.489595,357.91796875
0 days 00:00:00.465505,357.52734375
0 days 00:00:00.631443,356.7265625
0 days 00:00:00.520490,356.78125
0 days 00:00:00.462126,358.1796875
0 days 00:00:00.654946,357.60546875
0 days 00:00:00.475092,357.4453125
0 days 00:00:00.474040,356.7890625
0 days 00:00:00.657004,358.01953125
0 days 00:00:00.495459,358.15625
0 days 00:00:00.491515,357.9453125
0 days 00:00:00.669369,356.58984375
0 days 00:00:00.487631,358.96875
0 days 00:00:00.482306,358.8359375
0 days 00:00:00.656584,357.75
0 days 00:00:00.496016,357.953125
0 days 00:00:00.487327,359.53515625
0 days 00:00:00.652549,359.1171875
0 days 00:00:00.480441,357.36328125
0 days 00:00:00.500255,357.62890625
0 days 00:00:00.674722,357.66015625
0 days 00:00:00.523961,357.81640625
0 days 00:00:00.480600,357.75390625
0 days 00:00:00.647352,358.03515625
0 days 00:00:00.492258,357.453125
0 days 00:00:00.482582,357.6875
0 days 00:00:00.616737,358.40234375
0 days 00:00:00.482701,357.18359375
0 days 00:00:00.482946,356.94140625
0 days 00:00:00.644467,357.703125
0 days 00:00:00.494454,358.55859375
0 days 00:00:00.493628,357.6484375
0 days 00:00:00.662054,358.91796875
0 days 00:00:00.489179,357.78515625
0 days 00:00:00.461728,358.19140625
0 days 00:00:00.677078,357.86328125
0 days 00:00:00.498533,358.4296875
0 days 00:00:00.460512,358.140625
0 days 00:00:00.620524,357.0703125
0 days 00:00:00.466653,358.9296875
0 days 00:00:00.482595,358.2734375
0 days 00:00:00.643579,357.32421875
0 days 00:00:00.494481,358.23828125
0 days 00:00:00.539232,357.91015625
0 days 00:00:00.645962,358.25
0 days 00:00:00.494717,356.65234375
0 days 00:00:00.489095,357.15625
0 days 00:00:00.654308,358.28125
0 days 00:00:00.491700,357.47265625
0 days 00:00:00.485912,357.328125
0 days 00:00:00.670357,357.18359375
0 days 00:00:00.496614,357.09375
0 days 00:00:00.483969,357.3125
0 days 00:00:00.651501,356.87890625
0 days 00:00:00.546005,356.6953125
0 days 00:00:00.459769,356.90625
0 days 00:00:00.630547,356.296875
0 days 00:00:00.491998,356.765625
0 days 00:00:00.484517,357.27734375
0 days 00:00:00.644076,357.82421875
0 days 00:00:00.466863,357.8515625
0 days 00:00:00.469578,357.34375
0 days 00:00:00.637455,357.8515625
0 days 00:00:00.464603,358.09375
0 days 00:00:00.465370,358.75390625
0 days 00:00:00.685052,357.9375
0 days 00:00:00.493397,356.69921875
0 days 00:00:00.492901,358.40234375
0 days 00:00:00.649294,357.60546875
0 days 00:00:00.472334,357.5859375
0 days 00:00:00.467313,357.85546875
0 days 00:00:00.637994,357.44140625
0 days 00:00:00.498888,357.6953125
0 days 00:00:00.487332,357.828125
0 days 00:00:00.653528,358.2265625
0 days 00:00:00.492493,358.52734375
0 days 00:00:00.494081,357.8203125
0 days 00:00:00.634237,358.078125
0 days 00:00:00.488981,357.83203125
0 days 00:00:00.452805,358.12890625
0 days 00:00:00.670411,358.546875
0 days 00:00:00.491697,358.56640625
0 days 00:00:00.483577,358.78125
0 days 00:00:00.641116,358.63671875
0 days 00:00:00.544546,358.59765625
0 days 00:00:00.469070,358.84375
0 days 00:00:00.643570,357.43359375
0 days 00:00:00.484912,358.296875
0 days 00:00:00.499231,358.28515625
0 days 00:00:00.745731,358.171875
0 days 00:00:00.503507,358.90625
0 days 00:00:00.493905,358.8515625
0 days 00:00:00.612921,358.7734375
0 days 00:00:00.489436,358.625
0 days 00:00:00.487953,358.69140625
0 days 00:00:00.676826,358.671875
0 days 00:00:00.482242,358.8671875
0 days 00:00:00.466309,358.96484375
