Costs,Emissions,Folder
7024.68,5660146.7,1
6942.91,7617248.29,2
4720.72,5659898.1,3
7192.27,5660864.27,4
6893.56,5662250.84,5
6715.26,5661582.9,6
7377.28,5661295.49,7
7456.75,5660510.64,8
7053.81,5659952.16,9
6993.7,5660024.09,10
6849.76,5658501.87,11
5178.53,5660650.39,12
6477.51,5660183.22,13
6546.44,5663633.55,14
6871.83,5691136.93,15
8048.61,7316413.15,16
6027.55,5659120.88,17
7090.57,5670318.87,18
6881.77,5661206.78,19
6854.91,5703338.94,20
7211.09,5662160.11,21
6737.61,5662939.15,22
5952.19,5659287.93,23
5321.04,5660823.0,24
8685.97,5659011.39,25
4798.13,5843803.03,26
7602.28,5660015.46,27
5627.4,7303229.27,28
7825.07,6273205.97,29
6934.14,7368646.76,30
6248.74,5660319.98,31
6436.31,7428330.16,32
5622.05,5659222.87,33
5997.08,5963842.14,34
7231.3,5660767.88,35
6368.02,5659573.17,36
5747.14,5663676.33,37
7264.38,5663775.2,38
7100.15,6631833.74,39
7419.19,5659531.54,40
7486.21,5663096.48,41
8293.31,5662302.82,42
5837.58,5661299.34,43
8070.36,5662153.43,44
6065.72,5658927.96,45
7349.98,5661989.89,46
6634.91,5660609.93,47
6676.69,5660869.95,48
6484.31,6062600.26,49
6907.81,5661038.45,50
6619.29,5662978.03,51
8169.09,5662261.07,52
6874.5,5659570.31,53
6772.68,7343667.29,54
5363.29,5660702.72,55
8065.08,7245373.6,56
6419.67,7675893.68,57
6152.77,7270701.48,58
7639.17,5659228.29,59
5740.39,5662504.22,60
7785.34,5661649.83,61
6124.6,6569807.9,62
5899.07,5681482.22,63
7615.05,5659859.46,64
5768.32,5701346.08,65
5752.9,5662131.72,66
8497.85,5663645.82,67
7728.43,5661466.49,68
7576.84,5659696.17,69
5498.81,5660128.05,70
7371.33,5663383.11,71
6355.79,5802680.91,72
6094.02,5660715.64,73
6794.27,5661940.85,74
6752.37,5662671.27,75
8505.03,5660597.95,76
4838.95,5659344.32,77
7282.58,5661509.66,78
5759.81,5816280.16,79
7852.08,5659653.9,80
7616.0,5659263.76,81
6393.4,5661051.73,82
6228.44,5665190.07,83
6284.26,5942957.49,84
5505.25,5661451.36,85
5728.35,5660819.8,86
4751.98,5802064.61,87
5450.33,7454621.86,88
5663.16,6492148.55,89
5694.35,6495520.6,90
8036.72,5662300.97,91
7097.32,5659368.37,92
5326.47,5660938.31,93
7194.35,6382890.8,94
5444.91,5661079.09,95
7290.21,5661532.11,96
4762.3,5658526.07,97
7123.81,5661848.32,98
7868.6,5661335.17,99
7118.72,7162324.12,100
6336.01,5661201.31,101
6548.8,5660982.02,102
6343.7,6211498.24,103
8062.41,5661068.07,104
8463.66,5660008.69,105
6408.95,5661491.65,106
6036.02,5660078.96,107
5799.29,6305089.23,108
5572.29,5665244.05,109
6355.26,6120441.68,110
7120.0,5660757.93,111
6420.85,5661668.32,112
7234.36,5659271.64,113
5681.81,5845150.81,114
5165.84,7888335.65,115
8372.48,5662053.52,116
7063.11,5663649.08,117
5928.13,5659643.32,118
6565.42,6434666.57,119
7435.55,5661887.36,120
7004.33,5663169.9,121
6068.74,5660710.7,122
6098.57,7751593.97,123
5846.19,5659650.88,124
5984.61,5659033.58,125
8283.96,5659066.97,126
7238.35,5659474.77,127
5669.41,6606200.22,128
6629.47,7361392.17,129
6132.21,5661139.76,130
6067.14,6751312.6,131
7898.23,5661339.21,132
7158.37,5662573.13,133
7878.19,5662172.31,134
5319.61,5687576.08,135
7427.51,5661030.45,136
6124.06,5661713.86,137
5604.0,6052535.83,138
7273.38,5660823.55,139
6184.5,5663112.26,140
7580.35,6558767.73,141
5019.83,8195536.42,142
6050.96,5659794.58,143
7007.3,5661767.57,144
5958.88,6095006.31,145
5493.43,6140511.64,146
7709.15,5658735.44,147
5928.75,5660055.04,148
5586.66,6607042.03,149
7799.85,5658785.88,150
8377.69,5661975.41,151
6411.7,5840186.34,152
5999.74,5659670.75,153
6506.32,5660424.28,154
6017.08,5662582.15,155
6757.08,7482086.95,156
7977.93,5662842.92,157
5575.34,5670448.95,158
6565.31,6008358.86,159
6989.11,5661597.85,160
8103.3,5662442.1,161
6960.29,5661262.03,162
8238.58,5662361.83,163
7042.82,5661166.69,164
5887.56,5662508.31,165
7221.73,5661487.21,166
6260.57,6216794.84,167
7023.48,6226960.33,168
6778.02,5661011.75,169
6896.22,5660657.4,170
5195.54,5671749.42,171
6336.27,5661360.28,172
6466.71,5660784.63,173
7467.22,5668417.48,174
6865.32,5659615.46,175
6509.45,6459330.62,177
6881.31,6625817.01,178
6396.77,5662005.52,179
6199.54,5663122.62,180
7807.84,5659376.72,181
6569.97,5661351.13,182
6012.97,5663033.6,183
7436.36,5659233.71,184
4842.05,6686798.19,185
6709.17,6818055.15,186
6784.26,7067833.37,187
6385.58,5908296.75,188
6973.36,5662975.17,189
7500.66,5661629.32,190
8429.29,5660849.95,191
7780.8,5660553.76,192
7453.28,5660622.41,193
6884.05,5658998.5,194
6677.08,6878152.79,195
5523.6,5660907.04,196
6718.09,5663759.7,197
7591.13,5660433.76,198
8698.6,5661654.85,199
7259.52,5660396.35,200
6514.96,5662406.41,201
6047.84,5661668.3,202
8030.35,5661452.82,203
7914.54,5661966.9,204
5062.48,5659810.9,205
6860.28,5662524.14,206
6819.55,5661570.32,207
7083.1,5662190.99,208
6614.45,5658610.15,209
5486.27,6154174.6,210
6167.04,7617640.28,211
7477.25,7414432.28,212
6817.49,6917009.6,213
6063.08,5662158.97,214
7771.31,5659773.58,215
6827.43,5660795.26,216
7972.75,7509635.45,217
7982.8,5659065.15,218
8035.89,5661155.3,219
7420.09,7122733.67,220
7610.1,5658988.96,221
5384.57,7789421.41,222
7498.52,5662594.97,223
6157.43,5662106.16,224
6383.42,5920010.61,225
7904.16,5661986.4,226
6669.55,6344205.42,227
7406.93,5659998.64,228
8095.65,6353681.55,229
7173.17,5658469.73,230
6209.1,5662288.46,231
7439.05,5659590.68,232
6359.12,5662425.18,233
5738.51,7718094.05,234
7034.78,5662918.02,235
7571.31,5751005.67,236
6374.93,5660839.28,237
8155.2,5661273.95,238
8339.0,7488108.21,239
6530.69,5661862.78,240
5329.82,6444986.95,241
6907.89,5662829.32,242
6689.61,5662854.0,243
6172.26,5660276.98,244
7411.25,6280466.63,245
4777.82,5660226.46,246
6259.65,5662257.17,247
6287.52,5739490.95,248
6197.32,5660855.05,249
8246.77,5661505.58,250
7881.29,5661647.8,251
7668.15,5658232.89,252
7046.79,5660818.23,253
6957.69,5659698.67,254
6865.8,5662698.37,255
7916.98,5660930.84,256
6004.32,5689186.99,257
5937.59,5660893.32,258
5744.87,5662409.96,259
5326.1,7548663.2,260
7448.51,5660557.59,261
7502.01,5662798.5,262
6939.15,5663900.17,263
6487.63,6915600.14,264
6048.46,7548557.72,265
6232.88,5659795.86,266
5160.96,5659405.73,267
6684.01,5795753.98,268
5204.12,6297833.36,269
7375.37,5662351.49,270
5237.96,6609725.41,271
8319.79,5660563.37,272
8171.26,5661819.92,273
5753.33,5659212.67,274
7164.06,5660558.61,275
6412.87,5660830.0,276
5751.89,7089547.41,277
6408.91,5659507.58,278
7413.69,6646214.8,279
7857.13,5661721.88,280
5660.89,5659892.29,281
4994.25,6169442.27,282
6547.87,5661696.75,283
6858.51,6109904.64,284
7662.81,7036400.43,285
7826.39,5663047.47,286
7638.47,5659548.12,287
7648.54,5661525.93,288
6893.35,5660108.1,289
5729.53,5658573.82,290
7053.81,5827499.0,291
5869.92,5659203.14,292
8423.23,5662631.88,293
7253.24,5658711.21,294
6497.28,5659522.42,295
7354.26,5660431.96,296
6770.89,5659305.27,297
6900.3,5662717.96,298
8368.15,5659987.96,299
6410.86,5661777.76,300
6284.91,5660569.69,301
5102.88,5662043.33,302
7066.48,7106898.69,303
5524.42,6320749.09,304
6023.73,5662474.56,305
7702.33,5660132.68,306
7592.77,5849888.5,307
5629.46,7332953.44,308
7286.97,5660864.29,309
6885.11,6626898.1,310
5210.66,5660888.43,311
6840.2,5660605.05,312
6870.33,5714407.33,313
6109.44,5836823.36,314
6292.74,5661087.5,315
6336.16,5662262.54,316
6114.24,5663434.33,317
6810.83,5661683.98,318
7459.91,7430620.78,319
6789.24,5658909.51,320
6076.79,5663432.19,321
6559.03,6090063.98,322
6822.92,5661186.01,323
6165.4,6524719.5,324
5899.32,5659962.52,325
6447.43,5659351.47,326
7389.79,7090116.03,327
6736.02,5662188.0,328
5375.53,7208734.42,329
7005.93,5670676.46,330
5400.96,6735116.02,331
6771.77,6259265.92,332
7260.33,5662103.23,333
7524.33,6809260.24,334
7892.79,5660978.5,335
5867.75,7275600.08,336
7482.65,5791329.75,337
7518.85,5660278.38,338
7140.52,5687095.76,339
7786.84,5658865.27,340
7739.77,5660955.59,341
7846.56,7140517.63,342
5443.42,5659164.77,343
6696.29,6202056.3,344
6246.03,6738403.7,345
7079.57,7391647.07,346
7602.72,5663014.28,347
8372.93,5662304.27,348
7937.82,5661768.89,349
6401.54,5661765.62,350
7710.5,5662108.48,351
7170.83,5660216.79,352
5282.87,5662325.69,353
6044.99,5662072.68,354
8163.06,5662923.04,355
6598.94,5795343.42,356
7354.14,5660925.02,357
7320.95,5662650.54,358
6235.68,5660796.82,359
7536.42,5659732.06,360
5754.48,6003160.77,361
7185.25,5662436.29,362
6773.99,5667496.13,363
5551.77,5661136.87,364
5130.16,5706511.32,365
7937.24,5660870.51,366
6632.52,5661833.61,367
8042.7,5662618.46,368
5329.33,7907259.59,369
7207.65,6998135.93,370
6696.5,7539421.44,371
7921.65,5662653.58,372
8750.56,5662773.34,373
6876.82,5662057.39,374
6007.24,5674872.71,375
7643.09,5662689.31,376
