Costs,Emissions,Folder
6245.09,4856190.61,1
6146.85,7409209.73,2
6629.15,5421589.66,4
6048.81,4863495.03,5
5984.14,5172896.68,6
6592.98,4955912.27,7
6578.88,4692357.04,8
6403.05,5312200.06,9
6239.71,5045196.48,10
6617.74,6054296.47,11
4756.3,5545701.08,12
5860.2,5277722.88,13
5625.76,4870989.55,14
6899.35,6842756.19,15
7174.04,6993792.31,16
5365.39,5141296.64,17
6747.71,6117862.69,18
5896.34,4536838.16,19
6455.64,6073838.61,20
6276.5,4621254.8,21
6772.21,6804078.38,22
5548.75,5855300.29,23
7966.39,4943577.47,25
6800.28,4819487.94,27
7105.32,6186772.91,29
6079.0,7068262.86,30
5647.28,5241863.29,31
6614.99,9117647.51,32
5095.0,5409687.17,33
5554.31,6302287.74,34
6453.89,4891597.44,35
5755.99,5317347.12,36
4724.6,4495703.34,37
6253.47,4582230.05,38
6619.7,6933557.17,39
6799.48,5271494.87,40
6616.8,4948469.24,41
7192.7,4351461.93,42
5271.85,5531823.2,43
7174.53,4672345.29,44
5614.14,5610440.03,45
6431.61,4687060.38,46
5987.0,5228613.08,47
6431.68,6068714.46,48
6534.76,7256789.27,49
5978.31,4631532.73,50
5559.82,4427482.01,51
7451.05,5303088.9,52
6119.81,4955598.7,53
6674.16,8382681.51,54
4967.55,5897346.46,55
7251.5,7011818.71,56
5657.02,7417389.44,57
5973.79,8331172.44,58
6856.48,4839373.99,59
5001.59,5318042.33,60
6889.42,4848702.57,61
6221.5,8105193.65,62
5296.79,5683463.54,63
6899.24,4951386.61,64
5454.18,6292878.44,65
5213.23,5727985.09,66
7401.15,4361852.79,67
6959.42,4949131.01,68
7083.32,5624958.38,69
5017.37,5571895.98,70
6321.52,4436070.28,71
5814.86,5966462.16,72
6189.04,6909957.81,73
6059.57,5148890.03,74
5796.77,4573799.24,75
7661.04,4746030.83,76
6692.98,5516760.8,78
7137.44,4953643.02,80
6932.47,5033331.35,81
5491.3,4658896.64,82
5994.14,6212038.73,83
5772.34,6223000.91,84
5132.7,5850131.33,85
5111.9,5349543.79,86
5953.04,8085511.58,89
7203.97,4908784.34,91
6531.39,5334300.65,92
4828.46,5701513.58,93
6886.83,6949034.99,94
4798.89,5421382.27,95
6585.68,5184567.85,96
6107.49,4497711.62,98
6952.92,4765412.83,99
6371.81,7051392.91,100
5356.77,4550610.54,101
5731.94,4857411.58,102
6603.41,7830799.52,103
7950.06,6312727.39,104
7714.77,4897880.78,105
5579.14,5016579.42,106
5242.18,4823387.23,107
5469.18,6853713.1,108
5214.56,6019339.01,109
5723.49,6167185.88,110
6546.08,5633450.19,111
5446.29,4560056.84,112
6583.08,5212492.31,113
5260.85,6205390.33,114
7367.88,4508833.44,116
6154.45,4840462.97,117
5470.24,5640832.38,118
6747.36,7892482.96,119
6898.99,5654104.21,120
5958.77,4447799.62,121
5242.47,4778169.83,122
5503.17,7785968.67,123
5298.37,5392831.53,124
5279.93,4970006.88,125
7581.48,4971615.65,126
6594.48,5118620.14,127
5313.23,7106383.74,128
5959.86,7369585.85,129
5533.46,5589826.43,130
6597.39,8721390.9,131
6991.02,4661612.04,132
6326.88,5027994.01,133
6966.41,4733645.95,134
4979.7,6178525.01,135
6580.62,4846157.75,136
5724.37,6011473.66,137
5226.06,6467371.57,138
6550.23,5163155.45,139
5619.07,5540177.64,140
7790.13,8298107.81,141
5478.2,5515376.84,143
6519.22,5591413.68,144
6317.74,7825352.43,145
5413.45,7058796.05,146
6991.04,4948996.25,147
5477.05,5908337.89,148
5027.41,6755808.09,149
7109.66,5003192.15,150
7434.03,4601830.54,151
6491.1,7153701.97,152
5228.66,4864416.91,153
6045.69,5814776.83,154
6098.62,6943656.3,155
6328.3,8098890.91,156
6911.86,4403196.87,157
5296.1,6137638.24,158
6048.68,6227754.09,159
6120.6,4714618.87,160
7244.15,4930505.44,161
6192.89,4945699.74,162
7231.64,4607274.8,163
6250.0,4823298.29,164
5118.19,5094884.02,165
6374.49,4873253.01,166
5677.76,6357959.59,167
