Processing Time,Memory Usage
0 days 00:00:00.992514,342.07421875
0 days 00:00:01.080053,344.78515625
0 days 00:00:00.917172,346.45703125
0 days 00:00:01.073697,347.93359375
0 days 00:00:01.051031,345.83203125
0 days 00:00:00.914983,349.33203125
0 days 00:00:00.965008,349.546875
0 days 00:00:00.912464,350.1015625
0 days 00:00:01.030874,348.8203125
0 days 00:00:00.934206,346.2109375
0 days 00:00:00.932913,349.91015625
0 days 00:00:01.034748,351.33984375
0 days 00:00:00.922933,346.609375
0 days 00:00:00.881621,349.35546875
0 days 00:00:01.110766,349.0625
0 days 00:00:00.950157,346.5390625
0 days 00:00:00.897416,351.359375
0 days 00:00:01.064349,345.46875
0 days 00:00:00.914638,347.390625
0 days 00:00:00.907058,351.8203125
0 days 00:00:01.087070,346.0078125
0 days 00:00:00.970111,348.2109375
0 days 00:00:00.922525,352.55078125
0 days 00:00:00.961933,352.7890625
0 days 00:00:01.112306,346.26171875
0 days 00:00:01.057612,351.53125
0 days 00:00:01.047552,351.27734375
0 days 00:00:01.406136,347.52734375
0 days 00:00:01.255741,346.61328125
0 days 00:00:01.063244,351.00390625
0 days 00:00:01.148009,346.90625
0 days 00:00:01.228061,351.2578125
0 days 00:00:01.104209,347.69921875
0 days 00:00:01.082834,346.359375
0 days 00:00:01.341068,351.56640625
0 days 00:00:01.119750,348.3203125
0 days 00:00:01.198308,351.08203125
0 days 00:00:01.270075,351.2578125
0 days 00:00:01.268982,347.66796875
0 days 00:00:01.168093,350.609375
0 days 00:00:01.382455,350.80078125
0 days 00:00:01.127452,347.00390625
0 days 00:00:01.116827,350.33203125
0 days 00:00:01.229870,345.265625
0 days 00:00:01.099546,346.92578125
0 days 00:00:01.182946,345.6328125
0 days 00:00:01.201629,351.30078125
0 days 00:00:01.051444,347.140625
0 days 00:00:01.157410,353.171875
0 days 00:00:02.022593,349.4140625
0 days 00:00:01.154973,347.02734375
0 days 00:00:02.089557,352.37890625
0 days 00:00:02.028182,351.67578125
0 days 00:00:02.004771,352.1328125
0 days 00:00:01.062709,351.13671875
0 days 00:00:00.944067,351.34765625
0 days 00:00:00.950661,350.859375
0 days 00:00:00.933771,350.8203125
0 days 00:00:00.961554,351.4296875
0 days 00:00:00.981189,351.59375
0 days 00:00:00.990991,354.18359375
0 days 00:00:01.126293,350.06640625
0 days 00:00:01.099519,352.15234375
0 days 00:00:00.949908,350.11328125
0 days 00:00:00.946055,352.16796875
0 days 00:00:00.901538,351.22265625
0 days 00:00:00.933898,353.015625
0 days 00:00:00.952727,351.00390625
0 days 00:00:01.081240,352.21484375
0 days 00:00:00.982644,347.54296875
0 days 00:00:00.935223,352.58203125
0 days 00:00:00.924746,352.359375
0 days 00:00:00.969534,352.2265625
0 days 00:00:00.924959,352.08203125
0 days 00:00:00.968657,352.7109375
0 days 00:00:00.943016,353.06640625
0 days 00:00:00.954799,352.609375
0 days 00:00:00.928201,352.9609375
0 days 00:00:00.935468,351.74609375
0 days 00:00:00.935575,351.26171875
0 days 00:00:00.929269,352.0703125
0 days 00:00:01.004768,352.07421875
0 days 00:00:00.962098,353.1953125
0 days 00:00:00.975131,352.35546875
0 days 00:00:00.991897,351.95703125
0 days 00:00:01.082071,352.09375
0 days 00:00:00.898546,352.66015625
0 days 00:00:00.895789,352.2109375
0 days 00:00:01.077302,352.0859375
0 days 00:00:00.964714,349.140625
0 days 00:00:00.951527,354.25
0 days 00:00:01.086468,352.4453125
0 days 00:00:00.948223,351.9375
0 days 00:00:00.916765,348.66796875
0 days 00:00:00.935663,352.78125
0 days 00:00:01.079640,352.09375
0 days 00:00:00.957753,353.0546875
0 days 00:00:00.982275,352.23828125
0 days 00:00:01.099653,353.2265625
0 days 00:00:00.972933,348.94921875
0 days 00:00:00.920164,353.1015625
0 days 00:00:00.927705,352.53515625
0 days 00:00:01.001548,353.57421875
0 days 00:00:00.922259,353.16796875
0 days 00:00:00.982384,353.86328125
0 days 00:00:01.038761,353.453125
0 days 00:00:00.981078,353.05859375
0 days 00:00:00.946031,353.37109375
0 days 00:00:01.095879,352.5546875
0 days 00:00:00.992464,352.80078125
0 days 00:00:00.955289,347.9140625
0 days 00:00:01.082600,353.296875
0 days 00:00:00.999579,348.96875
0 days 00:00:00.924176,353.078125
0 days 00:00:00.884629,353.671875
0 days 00:00:00.960205,348.9921875
0 days 00:00:00.930365,352.90234375
0 days 00:00:01.066882,352.79296875
0 days 00:00:00.923080,354.1171875
0 days 00:00:00.930264,348.109375
0 days 00:00:01.077387,353.78515625
0 days 00:00:00.969695,353.62109375
0 days 00:00:00.939930,349.17578125
0 days 00:00:00.951282,353.140625
0 days 00:00:00.964280,354.12890625
0 days 00:00:00.936697,354.125
0 days 00:00:00.967925,352.9609375
0 days 00:00:00.928040,354.10546875
0 days 00:00:01.061636,354.79296875
0 days 00:00:00.950457,353.94921875
0 days 00:00:01.101107,353.65625
0 days 00:00:01.088808,353.96484375
0 days 00:00:01.080272,354.9765625
0 days 00:00:01.114299,348.4375
0 days 00:00:01.074848,354.19140625
0 days 00:00:00.987887,349.328125
0 days 00:00:01.052619,353.75390625
0 days 00:00:01.182276,352.73046875
0 days 00:00:00.981110,349.0390625
0 days 00:00:00.917835,354.55078125
0 days 00:00:01.118898,353.62890625
0 days 00:00:00.969441,349.9921875
0 days 00:00:01.000803,353.94921875
0 days 00:00:01.182161,353.57421875
0 days 00:00:00.988717,353.27734375
0 days 00:00:00.990731,348.3515625
0 days 00:00:01.080809,354.484375
0 days 00:00:01.000281,349.1015625
0 days 00:00:00.964519,353.62890625
0 days 00:00:01.122721,353.89453125
0 days 00:00:00.930530,349.21484375
0 days 00:00:00.968826,353.19140625
0 days 00:00:01.087158,353.03125
0 days 00:00:00.923863,349.515625
0 days 00:00:00.920582,353.53125
0 days 00:00:01.123802,354.13671875
0 days 00:00:00.974121,349.421875
0 days 00:00:00.950044,352.80859375
0 days 00:00:00.950909,353.80859375
0 days 00:00:00.981164,353.4609375
0 days 00:00:01.006731,353.46484375
0 days 00:00:00.969713,353.08203125
0 days 00:00:01.026350,352.49609375
0 days 00:00:00.963679,353.71875
0 days 00:00:00.941406,355.390625
0 days 00:00:01.095992,354.28515625
0 days 00:00:00.931762,352.3828125
0 days 00:00:00.928987,353.359375
0 days 00:00:00.922103,353.7109375
0 days 00:00:00.918770,354.1171875
0 days 00:00:00.929237,354.24609375
0 days 00:00:01.094175,354.390625
0 days 00:00:00.987614,349.2265625
0 days 00:00:00.934488,352.71484375
0 days 00:00:00.948299,353.83984375
0 days 00:00:00.923081,353.4453125
0 days 00:00:00.913662,348.4140625
0 days 00:00:00.934351,354.859375
0 days 00:00:00.946608,349.26953125
0 days 00:00:01.158180,354.71875
0 days 00:00:00.999133,349.015625
0 days 00:00:00.918948,353.37109375
0 days 00:00:00.974250,353.86328125
0 days 00:00:00.909445,353.7109375
0 days 00:00:01.085799,353.453125
0 days 00:00:00.948941,353.49609375
0 days 00:00:00.940856,348.44921875
0 days 00:00:01.108348,352.7734375
0 days 00:00:00.950998,349.0546875
0 days 00:00:00.908269,353.328125
0 days 00:00:01.069823,352.8203125
0 days 00:00:01.011394,349.23828125
0 days 00:00:00.919058,354.171875
0 days 00:00:01.165145,353.91796875
0 days 00:00:00.983032,349.27734375
0 days 00:00:00.928548,352.44921875
0 days 00:00:01.110289,352.8203125
0 days 00:00:01.009865,349.1171875
0 days 00:00:00.937250,354.53515625
0 days 00:00:01.095940,353.140625
0 days 00:00:01.012458,349.046875
0 days 00:00:00.932733,353.37890625
0 days 00:00:01.087903,352.90625
0 days 00:00:00.966679,349.2578125
0 days 00:00:00.932675,353.54296875
0 days 00:00:01.086476,353.6796875
0 days 00:00:01.017522,349.17578125
0 days 00:00:00.929433,353.9296875
0 days 00:00:01.055819,353.640625
0 days 00:00:00.947525,353.19921875
0 days 00:00:00.918510,352.984375
0 days 00:00:00.943780,353.53125
0 days 00:00:00.939632,354.54296875
0 days 00:00:00.974308,353.8984375
0 days 00:00:00.986639,353.78125
0 days 00:00:01.107839,354.43359375
0 days 00:00:01.000154,353.3671875
0 days 00:00:00.952601,348.8203125
0 days 00:00:01.086986,354.4453125
0 days 00:00:00.951217,350.0546875
0 days 00:00:00.870180,354.265625
0 days 00:00:00.941398,354.48828125
0 days 00:00:01.018896,348.5625
0 days 00:00:01.112079,354.859375
0 days 00:00:00.954641,349.375
0 days 00:00:00.972177,355.1015625
0 days 00:00:01.108397,355.265625
0 days 00:00:01.030944,349.47265625
0 days 00:00:00.920277,354.375
0 days 00:00:01.112294,354.37109375
0 days 00:00:00.968193,349.62109375
0 days 00:00:00.954070,353.70703125
0 days 00:00:01.072446,355.296875
0 days 00:00:00.968287,349.50390625
0 days 00:00:00.941185,355.44921875
0 days 00:00:01.063014,355.3203125
0 days 00:00:00.956138,349.7421875
