Processing Time,Memory Usage
0 days 00:00:00.433811,349.67578125
0 days 00:00:00.318050,351.84765625
0 days 00:00:00.332349,352.27734375
0 days 00:00:00.316793,353.30078125
0 days 00:00:00.455692,353.5859375
0 days 00:00:00.351137,353.5546875
0 days 00:00:00.302962,353.51953125
0 days 00:00:00.454680,353.90234375
0 days 00:00:00.325348,353.88671875
0 days 00:00:00.349464,355.24609375
0 days 00:00:00.475296,353.8984375
0 days 00:00:00.320674,353.76171875
0 days 00:00:00.304073,354.56640625
0 days 00:00:00.442848,355.296875
0 days 00:00:00.317631,352.47265625
0 days 00:00:00.304355,355.2421875
0 days 00:00:00.463562,354.31640625
0 days 00:00:00.323894,354.63671875
0 days 00:00:00.449904,354.6953125
0 days 00:00:00.472928,355.5625
0 days 00:00:00.329839,355.98828125
0 days 00:00:00.343590,355.765625
0 days 00:00:00.487119,355.26953125
0 days 00:00:00.366330,355.6875
0 days 00:00:00.434775,355.359375
0 days 00:00:00.569702,355.078125
0 days 00:00:00.406417,356.28125
0 days 00:00:00.396310,356.4765625
0 days 00:00:00.549120,355.625
0 days 00:00:00.426232,356.3046875
0 days 00:00:00.422437,356.109375
0 days 00:00:00.561045,356.38671875
0 days 00:00:00.430125,357.00390625
0 days 00:00:00.437373,357.23046875
0 days 00:00:00.579236,356.6953125
0 days 00:00:00.434855,357.94921875
0 days 00:00:00.432406,356.47265625
0 days 00:00:00.576716,357.15234375
0 days 00:00:00.440975,356.890625
0 days 00:00:00.437431,356.75
0 days 00:00:00.612912,356.00390625
0 days 00:00:00.470646,355.6953125
0 days 00:00:00.459574,356.2265625
0 days 00:00:00.612071,356.0234375
0 days 00:00:00.470716,356.109375
0 days 00:00:00.464809,357.0546875
0 days 00:00:00.680651,357.08984375
0 days 00:00:00.488813,357.17578125
0 days 00:00:00.480819,356.51171875
0 days 00:00:00.656643,356.29296875
0 days 00:00:00.516087,356.65234375
0 days 00:00:00.483870,356.83203125
0 days 00:00:00.667911,356.1875
0 days 00:00:00.585621,356.02734375
0 days 00:00:00.520353,356.08984375
0 days 00:00:00.691385,356.8203125
0 days 00:00:00.527980,356.83984375
0 days 00:00:00.488593,358.15625
