date,ID_electricity_bus_shortage_output1,ID_hp_electricity_bus_shortage_output1,district_chp_electricity_bus_excess_input1,district_gas_bus_shortage_output1,ID_pv_to_ID_electricity_link_input1,ID_pv_to_ID_electricity_link_output1,ID_electricity_sink_input1,ID_heat_sink_input1,ID_heat_sink_window-insulation_output1,ID_cooling_sink_input1,ID_battery_storage_capacity,ID_thermal_storage_capacity,ID_photovoltaic_electricity_source_output1,ID_GCHP_transformer_input1,ID_GCHP_transformer_input2,ID_GCHP_transformer_output1,ID_AbsCH_transformer_input1,ID_AbsCH_transformer_input2,ID_AbsCH_transformer_output1,ID_chp_transformer_input1,ID_chp_transformer_output1,ID_chp_transformer_output2,ID_Diameter65L_f0-c0_exergy_input1,district_heat_bus_Diameter65L_p0-f4_exergy_input1,district_heat_bus_Diameter65L_p0-f4_exergy_output1,ID_street1_Diameter65L_f1-f0_exergy_output1,ID_street1_Diameter65L_f0-f4_exergy_input1,ID_street1_Diameter65L_f0-f4_exergy_output1,ID_street1_Diameter65L_f4-f2_exergy_input1,district_heat_bus_dh_source_link_exergy_input1,district_heat_bus_dh_source_link_exergy_output1
2012-01-01 00:00:00,0.2912219035789898,0.6233647244891759,327.9484935232912,936.9956957808321,0.0,0.0,0.2912219035789898,1.5534785740157577,0.11126338055168344,5.0,2.0,3.2,0.0,1.1081586450755274,0.334056548388547,1.4422151934640743,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 01:00:00,0.215507205272396,0.6439220505438557,327.9484935232912,936.9956957808321,0.0,0.0,0.215507205272396,1.6490772554936506,0.11811035781640243,5.0,2.0,3.2,0.0,1.1763530232340214,0.3546138744432268,1.5309668976772481,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 02:00:00,0.19752746161119958,0.6593400450848655,327.9484935232912,936.9956957808321,0.0,0.0,0.19752746161119958,1.72077626660207,0.12324559076494167,5.0,2.0,3.2,0.0,1.2274988068528918,0.3700318689842366,1.5975306758371284,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 03:00:00,0.1923333134424095,0.7141595812306784,327.9484935232912,936.9956957808321,0.0,0.0,0.1923333134424095,1.9757060838764509,0.14150419680419227,5.0,2.0,3.2,0.0,1.4093504819422091,0.42485140513004943,1.8342018870722585,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 04:00:00,0.19542982485072669,0.8512084215952105,327.9484935232912,936.9956957808321,0.0,0.0,0.19542982485072669,2.6130306270624026,0.1871507119023188,5.0,2.0,3.2,0.0,1.8639796696655024,0.5619002454945815,2.425879915160084,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 05:00:00,0.23393644252512233,1.120166770810605,327.9484935232912,936.9956957808321,0.0,0.0,0.23393644252512233,3.8637800430648337,0.2767319977823922,5.0,2.0,3.2,0.0,2.756189450572466,0.8308585947099759,3.5870480452824416,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 06:00:00,0.4499430851214405,1.3514366889257525,327.9484935232912,936.9956957808321,0.0,0.0,0.4499430851214405,4.939265209691127,0.3537604920104807,5.0,2.0,3.2,0.0,3.523376204855523,1.0621285128251237,4.585504717680647,5.786163522012578,0.2893081761006289,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 07:00:00,0.6464217283524036,1.2803696120467238,327.9484935232912,936.9956957808321,0.0,0.0,0.6464217283524036,4.604669824518503,0.3297960715839643,5.0,2.0,3.2,0.0,3.284695881300794,0.9901778716337444,4.274873752934538,5.803834808259587,0.2901917404129794,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 08:00:00,0.666748827436034,1.1930009763143345,327.9484935232912,936.9956957808321,0.0,0.0,0.666748827436034,4.198375428237458,0.3006964182089086,5.0,2.0,3.2,0.0,2.994869774127195,0.9028092359013552,3.8976790100285497,5.803834808259587,0.2901917404129794,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
2012-01-01 09:00:00,0.6154066705368397,1.1227634456275117,327.9484935232912,936.9956957808321,0.0,0.0,0.6154066705368397,3.8717465998546574,0.27730257922111873,5.0,2.0,3.2,0.0,2.7618723154190064,0.8325717052145324,3.5944440206335386,5.803834808259587,0.2901917404129794,5.0,936.9956957808321,327.9484935232912,515.3476326794577,0.5821873260287543,515.3476326794577,514.8818085973887,-259.0163711867822,-259.59855851281094,-260.45110017081214,254.43070842657656,515.3476326794577,515.3476326794577
