date,EFH_electricity_bus_shortage_output1,EFH_pv_bus_excess_input1,EFH_hp_electricity_bus_shortage_output1,EFH_pv_to_EFH_electricity_link_input1,EFH_pv_to_EFH_electricity_link_output1,EFH_battery_storage_input1,EFH_battery_storage_output1,EFH_battery_storage_capacity,EFH_thermal_storage_input1,EFH_thermal_storage_output1,EFH_thermal_storage_capacity,EFH_electricity_to_EFH_hp_electricity_bus_input1,EFH_electricity_to_EFH_hp_electricity_bus_output1,EFH_electricity_sink_input1,EFH_heat_sink_input1,EFH_GCHP_transformer_input1,EFH_GCHP_transformer_input2,EFH_GCHP_transformer_output1,EFH_ASHP_transformer_input1,EFH_ASHP_transformer_input2,EFH_ASHP_transformer_output1,EFH_photovoltaic_electricity_source_output1
2011-12-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.73617161,3.4456453,0.0,0.30670724,17.145038,-0.0,0.0,0.736171614335857,0.3067072418101528,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2011-12-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.57096474,2.8630282,0.0,0.12691334,17.015534,-0.0,0.0,0.5709647397049536,0.12691334143868394,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2011-12-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.1650813,1.6741698,0.0,3.4,13.546147,0.86803495,0.86803495,0.29704634165056965,7.147548707830245,0.86803495,2.8795138,3.7475487,0.0,0.0,-0.0,0.0
2011-12-03 01:00:00,0.0,0.0,0.42125319,0.0,0.0,0.0,0.66068637,1.0,0.0,3.4,10.076759,0.44086902,0.44086902,0.21981734937784392,7.122021748159423,0.8621222,2.8598995,3.7220217,0.0,0.0,-0.0,0.0
2011-12-03 02:00:00,0.20147801,0.0,0.9035114,0.0,0.0,0.0,0.0,1.0,0.0,3.4,6.607371,-0.0,0.0,0.20147801084342357,7.300710465855178,0.9035114,2.9971991,3.9007105,0.0,0.0,-0.0,0.0
2011-12-03 03:00:00,0.19617998,0.0,0.94490061,0.0,0.0,0.0,0.0,1.0,0.0,3.4,3.1379832,-0.0,0.0,0.1961799797112577,7.479399183550934,0.94490061,3.1344986,4.0793992,0.0,0.0,-0.0,0.0
2011-12-03 04:00:00,0.19933842,0.0,1.6596945,0.0,0.0,0.0,0.0,1.0,0.0,0.74799386,2.3747242,-0.0,0.0,0.1993384213477412,7.913357497954914,1.6596945,5.5056691,7.1653636,0.0,0.0,-0.0,0.0
2011-12-03 05:00:00,0.23861517,0.0,2.2291042,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.3747242,-0.0,0.0,0.2386151713756248,9.623663795900006,2.2291042,7.3945596,9.6236638,0.0,0.0,-0.0,0.0
2011-12-03 06:00:00,0.45894195,0.0,3.4744109,0.0,0.0,0.0,0.0,1.0,0.0,0.36722972,2.0,-0.0,0.0,0.4589419468238693,15.367229721835026,3.4744109,11.525589,15.0,0.0,0.0,-0.0,0.0
2011-12-03 07:00:00,0.65935016,0.0,3.1751431,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.6593501629194517,13.707977343231576,3.1751431,10.532834,13.707977,0.0,0.0,-0.0,0.0
