Costs,Emissions,Folder
197024.67,7390791.72,6
43259.47,6960332.8,7
112110.67,6653641.23,13
398624.96,5007056.03,16
498238.29,1817872.28,21
2969147.94,1086193053.68,27
2936243.95,1086819916.0,28
292603.78,4359546.45,29
2647934.0,1088291351.65,34
606930.11,1046636.59,36
611878.13,998231.13,38
762995.15,2845326.35,44
494386.13,5477805.64,45
2851384.81,1085990845.55,46
2825671.17,1085316345.11,48
2581123.83,1086981757.6,49
2616633.19,1082917010.4,50
192265.06,1272625.2,53
16166.58,1511767.39,55
2858385.36,1085435750.7,58
502884.64,3766083.69,59
3146689.11,1084760016.72,60
3059016.1,1085580187.78,67
383549.46,2493100.27,68
246810.43,3118599.09,69
2592186.4,1087125921.66,70
2791394.28,1085009419.16,76
2732904.62,1085115143.07,77
2618535.03,1086151662.97,85
78525.31,3841415.64,86
2671935.71,1082754933.03,88
2557924.23,1086245265.3,92
98613.39,2679170.69,93
304057.26,5989438.16,95
2981511.09,1083286564.5,99
3036480.58,1083021099.43,108
569850.38,5480949.7,109
322299.84,3689853.02,111
2853279.06,1085767948.34,114
2808265.14,1085355943.65,116
2958568.9,1085955317.07,119
597908.5,1210432.22,121
45633.41,2652093.44,124
2796030.16,1083241201.79,126
2521795.92,1085018684.85,127
73760.98,1098227.66,129
223030.65,1036124.64,134
2914311.45,1088243231.65,135
2920146.16,1083743751.08,138
2824546.15,1082887377.35,140
2489302.48,1087769766.58,147
2696597.19,1085015961.09,148
721723.83,4826386.78,152
569768.55,3289695.01,153
261102.33,5196684.26,159
2571659.44,1086494156.92,161
2511151.5,1088433036.8,162
549787.09,2573995.05,165
2634113.18,1083919909.06,167
2697081.29,1082936404.16,168
2942099.64,1085770065.0,171
3197719.28,1085267801.82,173
414428.94,1331978.11,174
238923.46,4807046.4,176
329972.14,974438.15,179
2692307.56,1082729797.47,180
2905775.31,1082616372.9,183
275042.48,5908973.03,184
2948893.42,1087805627.73,186
84524.27,3053640.4,188
3071279.21,1084691798.02,190
2634840.91,1085005533.88,197
2890605.52,1082650320.58,204
2589752.27,1084420104.61,206
