,reductionco2,ST,ST_north,Heat Demand,GCHP,ASHP,nautral_gasheating,natural_gas_CHP,thermal_storage_losses,DH,Insulation
0,0.0,0.0,0.0,364.66,346.02,0.0,18.64,0.0,0.0,0.0,
0,10.0,0.0,0.0,364.66,358.08,0.0,6.58,0.0,0.0,0.0,
0,50.0,0.0,0.0,364.66,359.16,0.0,5.5,0.0,0.0,0.0,
0,95.0,0.0,0.0,364.66,208.45,85.12,0.0,0.0,1.5999999999999943,0.0,72.62832755031228
0,98.0,0.0,0.0,364.66,96.11,83.11,0.0,0.0,1.5999999999999943,0.0,187.01161693268563
0,99.0,0.0,0.0,364.66,58.43,82.44,0.0,0.0,1.5999999999999943,0.0,225.22373351839002
0,100.0,0.0,0.0,364.66,20.7,81.77,0.0,0.0,1.5999999999999943,0.0,263.68891047883415
