Costs,Emissions,Folder
197024.67,7390791.72,6
43259.47,6960332.83,7
112110.67,6653641.23,13
398624.96,5007056.06,16
498238.29,1817872.28,21
2969147.94,1086193058.5,27
2936243.95,1086819920.82,28
292603.78,4359546.45,29
2647934.01,1088291356.46,34
606930.11,1046636.59,36
611878.13,998231.12,38
762995.14,2845326.35,44
494386.13,5477805.65,45
2851384.82,1085990850.36,46
2825671.18,1085316349.92,48
2581123.84,1086981762.4,49
2616633.19,1082917015.21,50
192265.06,1272625.2,53
16166.58,1511767.4,55
2858385.37,1085435755.5,58
502884.64,3766083.7,59
3146689.11,1084760021.53,60
3059016.1,1085580192.58,67
383549.46,2493100.28,68
246810.43,3118599.09,69
2592186.4,1087125926.46,70
2791394.28,1085009423.97,76
2732904.62,1085115147.87,77
2618535.04,1086151667.77,85
78525.31,3841415.64,86
2671935.72,1082754937.83,88
2557924.23,1086245270.1,92
98613.39,2679170.69,93
304057.26,5989438.15,95
2981511.09,1083286569.3,99
3036480.59,1083021104.24,108
569850.38,5480949.7,109
322299.84,3689853.01,111
2853279.07,1085767953.15,114
2808265.14,1085355948.45,116
2958568.9,1085955321.87,119
597908.49,1210432.22,121
45633.41,2652093.44,124
2796030.17,1083241206.6,126
2521795.93,1085018689.65,127
73760.98,1098227.65,129
223030.65,1036124.65,134
2914311.46,1088243236.48,135
2920146.16,1083743755.89,138
2824546.15,1082887382.16,140
2489302.49,1087769771.39,147
2696597.2,1085015965.89,148
721723.82,4826386.78,152
569768.55,3289695.01,153
261102.32,5196684.27,159
2571659.44,1086494161.72,161
2511151.51,1088433041.61,162
549787.09,2573995.05,165
2634113.18,1083919913.87,167
2697081.29,1082936408.97,168
2942099.64,1085770069.8,171
3197719.29,1085267806.63,173
414428.94,1331978.12,174
238923.46,4807046.4,176
329972.14,974438.15,179
2692307.57,1082729802.27,180
2905775.31,1082616377.71,183
275042.48,5908973.03,184
2948893.43,1087805632.56,186
84524.27,3053640.39,188
3071279.21,1084691802.83,190
2634840.91,1085005538.69,197
2890605.53,1082650325.39,204
2589752.27,1084420109.4,206
2906898.18,1086743856.43,210
443462.24,1199927.36,213
321601.29,3691680.61,216
399186.91,3156980.53,218
2908716.73,1086306951.51,219
641599.53,2523833.98,220
