Processing Time,Memory Usage
0 days 00:00:00.674409,338.45703125
0 days 00:00:00.846816,341.61328125
0 days 00:00:00.737754,343.28125
0 days 00:00:00.718784,344.33984375
0 days 00:00:00.733736,346.69140625
0 days 00:00:00.702051,345.58203125
0 days 00:00:00.734678,346.75
0 days 00:00:00.635831,344.515625
0 days 00:00:00.781979,348.5625
0 days 00:00:00.647120,344.8125
0 days 00:00:00.647440,349.1328125
0 days 00:00:00.683522,345.6328125
0 days 00:00:00.874804,349.85546875
0 days 00:00:00.688496,345.890625
0 days 00:00:00.808062,349.35546875
0 days 00:00:00.632171,346.015625
0 days 00:00:00.655781,350.8671875
0 days 00:00:00.629651,351.32421875
0 days 00:00:00.701388,350.2421875
0 days 00:00:00.671082,349.8125
0 days 00:00:00.661117,346.12109375
0 days 00:00:00.797607,351.19140625
0 days 00:00:00.609390,346.0234375
0 days 00:00:00.654287,351.5
0 days 00:00:00.651309,345.92578125
0 days 00:00:00.777298,350.23828125
0 days 00:00:00.685418,346.07421875
0 days 00:00:00.710725,350.44921875
0 days 00:00:00.647012,345.89453125
0 days 00:00:00.669173,349.85546875
0 days 00:00:00.658351,346.3125
0 days 00:00:00.747952,351.76171875
0 days 00:00:00.592580,346.37890625
0 days 00:00:00.909515,350.91015625
0 days 00:00:00.613088,346.74609375
0 days 00:00:00.516115,351.8671875
0 days 00:00:00.612763,346.1796875
0 days 00:00:00.734588,350.265625
0 days 00:00:00.600968,346.078125
0 days 00:00:00.458344,350.625
0 days 00:00:00.392671,349.984375
0 days 00:00:00.475975,351.11328125
0 days 00:00:00.386982,346.36328125
0 days 00:00:00.506285,351.04296875
0 days 00:00:00.394560,347.359375
0 days 00:00:00.365604,351.7734375
0 days 00:00:00.395945,351.64453125
0 days 00:00:00.382150,350.76953125
0 days 00:00:00.390618,350.578125
0 days 00:00:00.376896,352.4140625
0 days 00:00:00.487686,351.65625
0 days 00:00:00.427897,346.859375
0 days 00:00:00.392600,351.32421875
0 days 00:00:00.376174,352.41015625
0 days 00:00:00.493886,352.578125
0 days 00:00:00.369424,346.9296875
0 days 00:00:00.685423,351.85546875
0 days 00:00:00.590619,347.25
0 days 00:00:00.814157,351.4765625
0 days 00:00:00.409646,352.484375
0 days 00:00:00.738799,352.4453125
0 days 00:00:00.542583,351.74609375
0 days 00:00:00.460218,347.921875
0 days 00:00:00.504480,353.00390625
0 days 00:00:00.402225,347.64453125
0 days 00:00:00.620620,352.3359375
0 days 00:00:00.546122,347.90234375
0 days 00:00:00.719784,352.359375
0 days 00:00:00.736461,352.71484375
