,costs,emissions
0,11292.09,4041290.71
1,7238.42,4052993.3200000003
2,7121.45,4064695.9299999997
3,6770.53,4099803.7699999996
4,4592.86,4626421.48
5,4436.43,5094526.1
6,4423.24,5211552.250000001
